vi,ch
"Hữu khách tặng ngã Nhật Bản đao,",有客贈我日本刀，
Ngư tu tác bá thanh ty cảnh.,魚須作靶青絲綆。
"Trùng trùng bích hải phù độ lai,",重重碧海浮渡來，
Thân thượng long văn tạp tảo hạnh.,身上龍文雜藻荇。
"Trướng nhiên đề đao khởi tứ cố,",悵然提刀起四顧，
Bạch nhật cao cao thiên quýnh quýnh.,白日高高天冏冏。
"Mao phát lẫm liệt sinh kê bì,",毛髮凜冽生雞皮，
Toạ thất viêm chưng nhật phương vĩnh.,坐失炎蒸日方永。
"Văn đạo Oa Di sơ chú thành,",聞道倭夷初鑄成，
Kỷ tuế mai tàng trịch thâm tỉnh.,幾歲埋藏擲深井。
"Nhật đào nguyệt luyện hoả khí tận,",日淘月煉火氣盡，
Nhất phiến ngưng băng đấu thanh lãnh.,一片凝冰鬥清冷。
"Trì thử nguyệt trung chước quế thụ,",持此月中斫桂樹，
Cố thố ưng tri tỵ quang cảnh.,顧兔應知避光景。
"Oa Di đồ đao dụng nhân huyết,",倭夷塗刀用人血，
Chí kim ban điểm thuỳ năng chỉnh?,至今斑點誰能整。
"Tinh linh trường dữ đao tương tuỳ,",精靈長與刀相隨，
Thanh tiêu hoảng hiện Di quỷ ảnh.,清宵恍見夷鬼影。
"Nhĩ lai Thát Đát phả kiêu hiệt,",邇來韃靼頗驕黠，
Tạc dạ tam quan hựu văn cảnh.,昨夜三關又聞警。
"Thuỳ năng tương thử hướng Long Sa,",誰能將此向龍沙，
Bôn đằng nhất trảm Thiền Vu cảnh.,奔騰一斬單于頸。
"Cổ lai thần vật dụng hữu thời,",古來神物用有時，
Thả hướng nang trung thí thao dĩnh.,且向囊中試韜穎。
