vi,ch
"Bắc phong kỳ lương,",北風其涼，
Vũ tuyết kỳ vụ.,雨雪其霧。
"Đăng minh tửu lãnh,",燈明酒冷，
Ưu lai vô phương.,憂來無方。
"Nhân sinh kết giao,",人生結交，
Quý tại hoàng kim.,貴在黃金。
"Nam nhi truỵ địa,",男兒墜地，
Thuỳ vô xích tâm.,誰無赤心。
"Lỗi lỗi chi thạch,",磊磊之石，
Quý tại hoàng kim.,貴在黃金。
"Nam nhi truỵ địa,",男兒墜地，
Diệc dĩ vi trụ.,亦以為柱。
"Thanh dăng vu phi,",青蠅于飛，
Thuỳ tri thị phi.,誰知是非。
"Yến an đam độc,",宴安酖毒，
Hoạ sinh hốt vi.,禍生忽微。
"Mạnh Tân chi thuỷ,",孟津之水，
Phủng thổ vi tắc.,捧土為塞。
"Triết nhân tri kỷ,",哲人知幾，
Mạc ngã cảm hoặc.,莫我敢惑。
"Hữu tửu hữu tửu,",有酒有酒，
Chỉ cơ kỳ cầu.,咫飢其求。
"Thiên thu chi hạ,",千秋之下，
Thuỳ tri ngã ái.,誰知我愛。
