vi,ch
"Cửu nguyệt xuất Kế Môn,",九月出薊門，
Bắc phong xuy tuyết y cừu ôn.,北風吹雪衣裘溫。
"Chánh nguyệt chí Giao Chỉ,",正月至交趾，
Xích nhật thiêu không hãn như thuỷ.,赤日燒空汗如水。
"Thiên nhai hải giác mang mang lộ,",天涯海角茫茫路，
Mã đề thanh lý quang âm độ.,馬蹄聲里光陰度。
"Vạn lý trường không nhất phi nhứ,",萬里長空一飛絮，
Phiêu phiêu tri phục đoạ hà xứ.,飄飄知復墮何處。
"Dạ chiêm thiên cực tư uất kết,",夜瞻天極思鬱結，
Thần thân nam kiệu tâm bắc khuyết.,臣身南嶠心北闕。
"Nguyện tụng thánh hoàng như thiên phúc,",愿頌聖皇如天福，
Tảo kiến Đồ Sơn ban vạn ngọc.,早見塗山班萬玉。
