vi,ch
"Nhân gian hữu thử bạch ngọc kinh,",人間有此白玉京，
La phù kiến nhật kê nhất minh.,羅浮見日雞一鳴。
"Nam lâu vị tất Tề nhật quán,",南樓未必齊日觀，
Uất nghi tự dục triều Chu Minh.,鬱儀自欲朝朱明。
"Đông Pha chi sư Bão Phác lão,",東坡之師抱朴老，
Chân Khế cửu dĩ giao tiền sinh.,真契久已交前生。
"Ngọc đường kim mã cửu lưu lạc,",玉堂金馬久流落，
Thốn điền xích trạch kim thuỳ canh.,寸田尺宅今誰耕。
"Đạo Hoa diệc thường đạm nhất tảo,",道華亦嘗啖一棗，
Khế Hư chính dục cừu tam bành.,契虛正欲仇三彭。
"Thiết kiều thạch trụ liên không hoành,",鐵橋石柱連空橫，
Trượng lê dục sấn phi nhu khinh.,杖藜欲趁飛猱輕。
"Vân Khê dạ phùng âm hổ phục,",雲溪夜逢瘖虎伏，
Đẩu đàn trú xuất đồng long ninh.,斗壇晝出銅龍獰。
"Tiểu nhi thiếu niên hữu kỳ chí,",小兒少年有奇志，
Trung tiêu khởi toạ tồn Hoàng đình.,中宵起坐存黃庭。
"Cận giả hý tác “Lăng vân phú”,",近者戲作《凌雲賦》，
Bút thế bàng phất “Ly tao kinh”.,筆勢彷彿《離騷經》。
"Phụ thư tòng ngã hạp quy khứ,",負書從我盍歸去，
Quần tiên chính thảo “Tân cung minh”.,群仙正草《新宮銘》。
"Nhữ ưng nô lệ Thái Thiếu Hà,",汝應奴隸蔡少霞，
Ngã diệc quý mạnh Sơn Huyền Khanh.,我亦季孟山玄卿。
"Hoàn tu lược báo lão Đồng Thúc,",還須略報老同叔，
Doanh lương vạn lý tầm Sơ Bình.,贏糧萬里尋初平。
