vi,ch
"Thanh hải uông dương thuý đại tòng,",青海汪洋翠岱從，
Ba trừng nhật hạo trạm khung thông.,波澄日皜湛穹蔥。
"Bàn Đào dị chủng yếm khung cùng,",盤桃異種厭芎藭，
Thê thê bổng bổng triêu dương đồng.,萋萋菶菶朝陽桐。
"Vật trân châu bối ngân sa đồng,",物珍珠貝銀沙銅，
Bì cách văn ban hổ báo hùng.,皮革文斑虎豹熊。
"Thiên niên xuân âm hạc quy tông,",千年春蔭鶴龜嵕，
Tú chung tinh dục toàn hoá công.,秀鍾精毓全化工。
"Tuấn ngạn đĩnh xuất khoa trường trung,",俊彥挺出科場中，
Thần ái nhân hiền quốc bất không.,茞藹人賢國不空。
"Đa văn bác lãm phát tâm lung,",多聞博覽發心聾，
Nhất đại Sơn Đẩu ngưỡng cự công.,一代山斗仰鉅公。
"Cao từ kiện bút sách kỳ công,",高詞健筆策奇功，
Diệp diệp tài hoa cái thế hùng.,燁燁才華蓋世雄。
"Khí lăng trường kiếm ỷ không đồng,",氣凌長劍倚崆峒，
Bút vãn văn tinh diễm thổ hồng.,筆挽文星焰吐紅。
"Hầu thiệt ban liên đài toạ hàng,",喉舌班聯台座降，
Yêu bội khanh thương ngọc sắc lung.,腰佩鏗鏘玉色瓏。
"Nhã vịnh hoàng hoa thịnh tuyển sung,",雅詠黃華盛選充，
Khinh giá chinh yên phất liễu phong.,輕駕征鞍拂柳風。
"Huyền hà đối ngữ phái vô cùng,",懸河對語沛無窮，
Đô đắc thực học đắc tâm hung.,都得實學得心胸。
"Ngô đạo tương truyền vô cực ông,",吾道相傳無極翁，
Vân bình vạn lý khánh lai đồng.,雲萍萬里慶來同。
"Cửu trùng sạ tấu nhất thư phong,",九重乍奏一書封，
Sứ tinh mật tiếp Tử Vi cung.,使星密接紫微宮。
"Uyên hành thú vũ ánh nga nhung,",鵷行獸舞映鵝絨，
Ngũ Phụng lâu tiền bát bách chung.,五鳳樓前八百鍾。
"Ngưỡng chiêm hoàng cực thiên hình dung,",仰瞻皇極天形容，
Vạn tuế liên hô chúc Đại Tông.,萬歲連呼祝岱宗。
"Hỉ kim thiên tải nhất kỳ phùng,",喜今千載一奇逢，
Tam sinh tự giác thoát trần tung.,三生自覺脫塵蹤。
"Bái quan hy triều hiệp hoà trung,",拜觀熙朝協和衷，
Thanh minh quân hữu thế dung dung.,聲明均囿世融融。
"Thi hoài sái lạc chỉ chinh sung,",詩懷洒落旨怔忡，
Gia tình hà tất ký thư đồng.,家情何必寄書筒。
"Nhẫm nhiễm sơ thu khách tư hốt,",荏苒初秋客思忽，
Đoạn tục gian văn thế bạng trùng.,斷續閒聞砌傍虫。
"Nhất luân minh nguyệt quản vân bồng,",一輪明月斡雲蓬，
Hành nam ngưng mục hiểu quy hồng.,衡南凝目曉歸鴻。
"Tương ức canh thâm mộng diệc dung,",相憶更深夢亦慵，
Thiên biên vọng khoát hải chi đông.,天邊望闊海之東。
Dư văn:,余聞：
"Liêu nhuyên sản xuất thần thảo tùng,",遼堧產出神草叢，
Y quốc lương phương mạch lý thông.,醫國良方脈理通。
"Quân điệu tiên tễ trú xuân dung,",勻調仙劑駐春容，
Thọ lương phát bạch áng nhan đồng.,壽涼髮白盎顏童。
"Đán hoa Nghiêu Thuấn tuế kiều tùng,",旦華堯舜歲喬松，
Đắc bằng tải tửu thả tương tòng.,得朋載酒且相從。
Mỹ tai!,美哉！
Đắc bằng tải tửu khả tương tòng.,得朋載酒可相從。
