vi,ch
"Gia Lăng giang viễn vọng Nga My,",嘉陵江遠望峨眉，
Mãn địa tàn lô nguyệt thượng thì.,滿地殘蘆月上時。
"Bất quản Cù Đường phong lãng ác,",不管瞿塘風浪惡，
Tiểu bồng song để tự đề thi.,小篷窗底自題詩。
"Bạch Đế thành biên thụ vạn tằng,",白帝城邊樹萬層，
Hoàng Ngưu giáp lý thượng thu đăng.,黃牛峽裡上秋鐙。
"Cô đắc Bì đồng hảo xuân tửu,",沽得郫筒好春酒，
Bất từ phong lộ hạ Ba Lăng.,不辭風露下巴陵。
"Xuất lĩnh nhập lĩnh sơn chung thanh,",出嶺入嶺山鐘聲，
Thượng than hạ than huỳnh hoả minh.,上灘下灘螢火明。
"Nhất chích lô tư dẫn nhân khứ,",一隻鸕鶿引人去，
Tự y phong điệm khán triều sinh.,自欹風簟看潮生。
"Vu sơn Vu giáp mãn thu yên,",巫山巫峽滿秋煙，
Sơn mộc thương thương lãnh đáo thiên.,山木蒼蒼冷到天。
"Lưỡng ngạn viên thanh hưu thái khổ,",兩岸猿聲休太苦，
Thanh Khê quy khách vị tằng miên.,青溪歸客未曾眠。
