vi,ch
"Trương sinh thủ trì “Thạch cổ” văn,",張生手持石鼓文，
Khuyến ngã thí tác “Thạch cổ ca”.,勸我試作石鼓歌。
"Thiếu Lăng vô nhân Trích Tiên tử,",少陵無人謫仙死，
Tài bạc tương nại thạch cổ hà.,才薄將奈石鼓何。
"Chu cương lăng trì tứ hải phí,",周綱陵遲四海沸，
Tuyên Vương phẫn khởi huy thiên qua.,宣王憤起揮天戈。
"Đại khai Minh Đường thụ triều hạ,",大開明堂受朝賀，
Chư hầu kiếm bội minh tương ma.,諸侯劍佩鳴相磨。
"Sưu ư Kỳ Dương sính hùng tuấn,",蒐於岐陽騁雄俊，
Vạn lý cầm thú giai già la.,萬里禽獸皆遮羅。
"Tuyên công lặc thành cáo vạn thế,",鐫功勒成告萬世，
Tạc thạch tác cổ huy tha nga.,鑿石作鼓隳嵯峨。
"Tòng thần tài nghệ hàm đệ nhất,",從臣才藝咸第一，
Giản tuyển soạn khắc lưu sơn a.,揀選撰刻留山阿。
"Vũ lâm nhật chích dã hoả liệu,",雨淋日炙野火燎，
Quỷ vật thủ hộ phiền huy a.,鬼物守護煩撝呵。
"Công tòng hà xứ đắc chỉ bản,",公從何處得紙本，
Hào phát tận bị vô sai ngoa.,毫髮盡備無差訛。
"Từ nghiêm nghĩa mật độc nan hiểu,",辭嚴義密讀難曉，
Tự thể bất loại lệ dữ khoa.,字體不類隸與科。
"Niên thâm khởi miễn hữu khuyết hoạ,",年深豈免有缺畫，
Khoái kiếm chước đoạn sinh giao đà.,快劍斫斷生蛟鼉。
"Loan tường phượng chứ chúng tiên hạ,",鸞翔鳳翥眾仙下，
San hô bích thụ giao chi kha.,珊瑚碧樹交枝柯。
"Kim thằng thiết sách toả nữu tráng,",金繩鐵索鎖鈕壯，
Cổ đỉnh dược thuỷ long đằng thoa.,古鼎躍水龍騰梭。
"Lậu nho biên thi bất thu nhập,",陋儒編詩不收入，
Nhị nhã biển bách vô uỷ xà.,二雅褊迫無委蛇。
"Khổng Tử tây hành bất đáo Tần,",孔子西行不到秦，
Kỷ trích tinh túc di Hy Nga.,掎摭星宿遺羲娥。
"Ta dư hiếu cổ sinh khổ vãn,",嗟予好古生苦晚，
Đối thử thế lệ song bàng đà.,對此涕淚雙滂沱。
"Ức tích sơ mông bác sĩ trưng,",憶昔初蒙博士徵，
Kỳ niên thuỷ cải xưng Nguyên Hoà.,其年始改稱元和。
"Cố nhân tòng quân tại Hữu Phụ,",故人從軍在右輔，
Vị ngã độ lường quật cữu khoa.,為我度量掘臼科。
"Trạc quan mộc dục cáo sái tửu,",濯冠沐浴告祭酒，
Như thử chí bảo tồn khởi đa.,如此至寶存豈多。
"Chiên bao tịch khoả khả lập trí,",氈包席裹可立致，
Thập cổ kỳ tải sổ lạc đà.,十鼓祇載數駱駝。
"Tiến chư thái miếu tỷ Cáo đỉnh,",薦諸太廟比郜鼎，
Quang giá khởi chỉ bách bội quá.,光價豈止百倍過。
"Thánh ân nhược hứa lưu thái học,",聖恩若許留太學，
Chư sinh giảng giải đắc thiết tha.,諸生講解得切磋。
"Quan kinh hồng đô thượng điền yết,",觀經鴻都尚填咽，
Toạ kiến cử quốc lai bôn ba.,坐見舉國來奔波。
"Oan đài dịch tiển lộ tiết giác,",剜苔剔蘚露節角，
An trí thoả thiếp bình bất pha.,安置妥帖平不頗。
"Đại hạ thâm thiềm dữ cái phúc,",大廈深簷與蓋覆，
Kinh lịch cửu viễn kỳ vô đà.,經歷久遠期無佗。
"Trung triều đại quan lão ư sự,",中朝大官老於事，
Cự khẳng cảm khích đồ an a.,詎肯感激徒媕婀。
"Mục đồng xao hoả ngưu lệ giác,",牧童敲火牛礪角，
Thuỳ phục trước thủ vi ma sa.,誰復著手為摩挲。
"Nhật tiêu nguyệt thước tựu mai một,",日銷月鑠就埋沒，
Lục niên tây cố không ngâm nga.,六年西顧空吟哦。
"Hy Chi tục thư sấn tư mị,",羲之俗書趁姿媚，
Thư chỉ thượng khả bác bạch nga.,書紙尚可博白鵝。
"Kế chu bát đại tranh chiến bãi,",繼周八代爭戰罷，
Vô nhân thu thập lý tắc na.,無人收拾理則那。
"Phương kim thái bình nhật vô sự,",方今太平日無事，
Bính nhậm nho thuật sùng Khâu Kha.,柄任儒術崇丘軻。
"An năng dĩ thử thượng luận liệt,",安能以此上論列，
Nguyện tá biện khẩu như huyền hà.,願借辨口如懸河。
"Thạch cổ chi ca chỉ ư thử,",石鼓之歌止於此，
Ô hô! Ngô ý kỳ tha đà.,嗚呼！吾意其蹉跎。
