vi,ch
"Trường niên hà tằng tại hương quốc,",長年何曾在鄉國，
Tâm tính do lai hiếu vi khách.,心性由來好為客。
"Chỉ tương sinh sự ký giang hồ,",只將生事寄江湖，
Lợi thị hà sầu viễn hành dịch.,利市何愁遠行役。
"Thiêu tiền si tửu hiểu kỳ phong,",燒錢釃酒曉祈風，
Trục lữ du du tây phục đông.,逐侶悠悠西復東。
"Phù gia phiếm trạch vô khiên quải,",浮家泛宅無牽掛，
Tính danh bất hệ quan tịch trung.,姓名不繫官籍中。
"Tha nga đại bạch giáp song lỗ,",嵯峨大舶夾雙櫓，
Đại phụ năng ca tiểu phụ vũ.,大婦能歌小婦舞。
"Kỳ đình mỹ tửu nhật nhật cô,",旗亭美酒日日沽，
Bất thức nhân gian ly biệt khổ.,不識人間離別苦。
"Trường Giang lưỡng ngạn xướng lâu đa,",長江兩岸娼樓多，
Thiên môn vạn hộ tứ kinh qua.,千門萬戶恣經過。
"Nhân sinh hà như cổ khách lạc,",人生何如賈客樂，
Trừ khước phong ba nại nhược hà!,除卻風波奈若何。
