vi,ch
"Đả hổ nhi,",打虎兒，
"Nãi tại Biện Lương chi Vũ Châu,",乃在汴梁之禹州，
Vũ Châu thành ngoại Chu gia lâu.,禹州城外朱家樓。
"Tiểu nhi thập nhất tuỳ phụ canh,",小兒十一隨父耕，
Thâm lâm hữu hổ ban mao thành.,深林有虎斑毛成。
"Lưu lưu hắc phong xuy thảo căn,",飀飀黑風吹草根，
Thừa phong quắc nhân thuỳ cảm anh?,乘風攫人誰敢攖？
"Tiểu nhi bất thức hổ,",小兒不識虎，
Nghi thị hồ dữ ly.,疑是狐與狸。
"Đẩu nhiên kiến hổ hàm phụ chi,",陡然見虎銜父肢，
Bào hao thảo tế phong lai xuy.,咆哮草際風來吹。
"Nhi đề hướng phong bất đắc phụ,",兒啼向風不得父，
Bả dặc đả hổ tiệt hổ lộ.,把杙打虎截虎路。
"Tam xích đồng tử ngũ xích dặc,",三尺童子五尺杙，
Bằng không kích khứ trước hổ ức.,憑空擊去著虎臆。
"Hổ kinh cố nhi xả phụ dật,",虎驚顧兒捨父逸，
Thâm lâm phong thảo giai vô sắc.,深林風草皆無色。
"Vũ Châu thái thú hô tiểu nhi,",禹州太守呼小兒，
Dữ chi dĩ bạch bão dĩ mi.,予之以帛飽以糜。
"Dư thời tại thự thức nhi diện,",予時在署識兒面，
Phi phát khiêu trịch chân nhi hy.,披發跳擲真兒嬉。
Vấn nhi đả hổ hổ hà tự?,問兒打虎虎何似？
"Cử thủ trương nha tác hổ thế,",舉手張牙作虎勢。
Giả hổ ẩn mạn khủng tiểu nhi.,假虎隱幔恐小兒，
"Tiểu nhi kinh tỵ lực bất chi,",小兒驚避力不支。
Đương thời kiến hổ đắc vô bố.,當時見虎得無怖，
"Thử sự ngã diệc muội kỳ cố,",此事我亦昧其故。
Vũ Châu thái thú tỉnh đắc tri.,禹州太守省得知，
"Thị thời tiểu nhi tri hữu phụ,",是時小兒知有父。
Nam nhi thất xích tung phục hoành.,男兒七尺縱復橫，
"Tranh danh quắc lợi vạn lý hành,",爭名攫利萬里行。
Cao đường tồn một tổng bất vấn.,高堂存沒總不問，
Na khẳng xả mệnh luyến sở sinh?,那肯捨命戀所生？
"Ngã sở tư, đả hổ nhi.",我所思，打虎兒。
