vi,ch
"Ngô ty Thục đồng trương cao thu,",吳絲蜀桐張高秋，
Không sơn ngưng vân đồi bất lưu.,空山凝雲頹不流。
"Giang Nga đề trúc, Tố Nữ sầu,",江娥啼竹素女愁，
Lý Bằng trung quốc đàn không hầu.,李憑中國彈箜篌。
"Côn Sơn ngọc toái, phụng hoàng khiếu,",昆山玉碎鳳凰叫，
"Phù dung khấp lộ, hương lan tiếu.",芙蓉泣露香蘭笑。
"Thập nhị môn tiền dung lãnh quang,",十二門前融冷光，
Nhị thập tam ty động Tử Hoàng.,二十三絲動紫皇。
"Nữ Oa luyện thạch bổ thiên xứ,",女媧煉石補天處，
Thạch phá thiên kinh đậu thu vũ.,石破天驚逗秋雨。
"Mộng nhập thần sơn giáo Thần Ẩu,",夢入神山教神嫗，
Lão ngư khiêu ba sấu giao vũ.,老魚跳波瘦蛟舞。
"Ngô Chất bất miên ỷ quế thụ,",吳質不眠倚桂樹，
Lộ cước tà phi thấp hàn thố.,露腳斜飛濕寒兔。
