vi,ch
"Hồng tuyến thảm,",紅線毯，
"Trạch kiển sào ty thanh thuỷ chử,",擇繭繅絲清水煮，
Giản ty luyện tuyến hồng lam nhiễm.,揀絲練線紅藍染。
"Nhiễm vi hồng tuyến hồng vu hoa,",染為紅線紅于花，
Chức tác Phi Hương điện thượng thảm.,織作披香殿上毯。
"Phi Hương điện quảng thập dư trượng,",披香殿廣十余丈，
Hồng tuyến chức thành khả điện phô.,紅線織成可殿鋪。
"Thái ty nhung nhung hương phất phất,",彩絲茸茸香拂拂，
Tuyến nhuyễn hoa hư bất thắng vật.,線軟花虛不勝物。
"Mỹ nhân đạp thượng lai ca vũ,",美人踏上來歌舞，
La miệt tú hài tuỳ bộ một.,羅襪繡鞋隨步沒。
"Thái Nguyên thảm sáp thuế lũ ngạnh,",太原毯澀毳縷硬，
Thục đô nhục bạc cẩm hoa lãnh.,蜀都褥薄錦花冷。
"Bất như thử thảm ôn thả nhu,",不如此毯溫且柔，
Niên niên thập nguyệt lai Tuyên châu.,年年十月來宣州。
"Tuyên châu thái thú gia dạng chức,",宣州太守加樣織，
Tự vị vi thần năng kiệt lực.,自謂為臣能竭力。
"Bách phu đồng đảm tiến cung trung,",百夫同擔進宮中，
Tuyến hậu ty đa quyển bất đắc.,線厚絲多卷不得。
Tuyên châu thái thú tri bất tri?,宣州太守知不知？
"Nhất trượng thảm, thiên lưỡng ty,",一丈毯，千兩絲，
"Địa bất tri hàn nhân yếu noãn,",地不知寒人要暖，
Thiểu đoạt nhân y tác địa y.,少奪人衣作地衣。
