vi,ch
"Sinh lai anh hùng ký khu xác,",生來英雄寄軀殼，
Tử khứ tinh thần lưu bàng bạc.,死去精神留磅礡。
"Khu xác hữu hoại bàng bạc tồn,",軀殼有壞磅礡存，
Ngưỡng chân bất quý phủ bất tạc.,仰真不愧俯不怍。
"Tầm thường quan quách dã hà vi,",尋常棺郭也何爲，
Chí sĩ bất vong tại câu hác.,志士不忘在溝壑。
"Vạn lý ương ương Lô Nhĩ hà,",萬里泱泱瀘珥河，
Cửu long súc súc Nham Biền nhạc.,九龍矗矗岩軿岳。
"Trường châu tuy nhiên mai thử nhân,",長洲雖然埋此人，
Tu sát vị mai ngoan dữ bạc.,羞剎未埋頑與薄。
"Vị bằng nhất bút điếu trung hồn,",為憑一筆吊忠魂，
Thiên tải cửu tuyền do khả tác.,天載九泉猶可作。
