vi,ch
"Sơn lộ y tà thạch đặng nguy,",山路欹斜石磴危，
Bất sầu hành khổ khổ tương tư.,不愁行苦苦相思。
"Băng tiêu viễn giản liên thanh vận,",冰銷遠澗憐清韻，
Tuyết viễn hàn phong tưởng ngọc tư.,雪遠寒峰想玉姿。
"Mạc thính phàm ca “Xuân bệnh tửu”,",莫聽凡歌春病酒，
Hưu chiêu nhàn khách dạ tham kỳ.,休招閑客夜貪棋。
"Như tùng phỉ thạch minh trường tại,",如松匪石盟長在，
Tỉ dực liên khâm hội khẳng trì.,比翼連襟會肯遲。
"Tuy hận độc hành đông tận nhật,",雖恨獨行冬盡日，
Chung kỳ tương kiến nguyệt viên thì.,終期相見月圓時。
"Biệt quân hà vật kham trì tặng,",別君何物堪持贈，
Lệ lạc tình quang nhất thủ thi.,淚落晴光一首詩。
