vi,ch
"Tích niên tằng tác Phù Thạch du,",昔年曾作浮石遊，
Đồng nhan a kế bồi thân ngu.,童顏丫髻陪親娛。
"Đề thi khiếu vịnh thạch bích hạ,",題詩叫詠石壁下，
Thời nhân thiết tỉ Mi tam Tô.,時人竊比眉三蘇。
"Kim niên trùng tác Phù Thạch du,",今年重作浮石遊，
"Giang sơn như cố, nhân bạch đầu.",江山如故人白頭。
"Truy hoan tuế nguyệt dĩ bất tái,",追歡歲月已不再，
Yên ba thiên lý sinh nhàn sầu.,煙波千里生閒愁。
"Thắng du giải cấu na khả tất,",勝遊邂逅那可必，
Trần thổ trùng lai hựu hà nhật.,塵土重來又何日。
"Du du thân thế ỷ lan can,",悠悠身世倚欄杆，
Thiên ngoại khách phàm quy điểu tật.,天外客帆歸鳥疾。
