vi,ch
"Hán gia yên trần tại đông bắc,",漢家煙塵在東北，
Hán tướng từ gia phá tàn tặc.,漢將辭家破殘賊。
"Nam nhi bản tự trọng hoành hành,",男兒本自重橫行，
Thiên tử phi thường tứ nhan sắc.,天子非常賜顏色。
"Song kim phạt cổ há Du Quan,",摐金伐鼓下榆關，
Tinh kỳ uy di Kiệt Thạch gian.,旌旗逶迤碣石間，
"Hiệu uý vũ thư phi hãn hải,",校尉羽書飛瀚海，
Thiền Vu lạp hoả chiếu Lang San.,單于獵火照狼山。
"Sơn xuyên tiêu điều cực biên thổ,",山川蕭條極邊土，
Hồ kỵ bằng lăng tạp phong vũ.,胡騎憑陵雜風雨，
"Chiến sĩ quân tiền bán tử sinh,",戰士軍前半死生，
Mỹ nhân trướng hạ do ca vũ.,美人帳下猶歌舞。
"Đại mạc cùng thu tái thảo suy,",大漠窮秋塞草衰，
Cô thành lạc nhật đấu binh hy.,孤城落日鬥兵稀，
"Thân đương ân ngộ thường khinh địch,",身當恩遇常輕敵，
Lực tận quan sơn vị giải vi.,力盡關山未解圍。
"Thiết y viễn thú tân cần cửu,",鐵衣遠戍辛勤久，
Ngọc trợ ưng đề biệt ly hậu.,玉箸應啼別離後，
"Thiếu phụ thành nam dục đoạn trường,",少婦城南欲斷腸，
Chinh nhân Kế Bắc không hồi thủ.,征人薊北空回首。
"Biên đình phiêu dao na khả độ,",邊庭飄颻那可度，
Tuyệt vực thương mang cánh hà hữu.,絕域蒼茫更何有?
"Sát khí tam thời tác trận vân,",殺氣三時作陣雲，
Hàn thanh nhất dạ truyền điêu đẩu.,寒聲一夜傳刁斗。
"Tương khan bạch nhận huyết phân phân,",相看白刃血紛紛，
Tử tiết tòng lai khởi cố huân!,死節從來豈顧勳，
"Quân bất kiến sa trường chinh chiến khổ,",君不見沙場征戰苦，
Chí kim do ức Lý tướng quân.,至今猶憶李將軍。
