vi,ch
"Phiên phiên bạch cưu,",翩翩白鳩，
Tái phi tái minh.,載飛載鳴。
"Hoài ngã quân đức,",懷我君德，
Lai tập quân đình.,來集君庭。
"Bạch tước trình thuỵ,",白雀呈瑞，
"Tố vũ minh tiên,",素羽明鮮，
"Tường đình vũ dực,",翔庭舞翼，
Dĩ ứng nhân càn.,以應仁乾。
"Giao giao minh cưu,",交交鳴鳩，
Hoặc Đơn hoặc Hoàng.,或丹或黃。
"Lạc ngã quân huệ,",樂我君惠，
Chấn vũ lai tường.,振羽來翔。
"Đông bích dư quang,",東璧餘光，
Ngư tại giang hồ.,魚在江湖。
"Huệ nhi bất phí,",惠而不費，
Kính ngã vi khu.,敬我微軀。
"Sách ngã lương tứ,",策我良駟，
Tập ngã khu trì.,習我驅馳。
"Dữ quân chu toàn,",與君周旋，
Lạc thủ vong dư.,樂首亡餘。
"Ngã tâm hư tĩnh,",我心虛靜，
Ngã chí triêm nhu.,我志沾濡。
"Đàn cầm cổ sắt,",彈琴鼓瑟，
Liêu dĩ tự ngu.,聊以自娛。
"Lăng vân đăng đài,",淩雲登臺，
Phù du thái thanh.,浮遊太清。
"Bản long phụ phụng,",扳龍附鳳，
Mục vọng thân khinh.,目望身輕。
"Đông lâm Kiệt Thạch,",東臨碣石，
Dĩ quan thương hải.,以觀滄海。
"Thuỷ hà đạm đạm,",水何澹澹，
Sơn đảo lạt trì.,山島辣峙。
"Thụ mộc tùng sinh,",樹木叢生，
Bách thảo phong mậu.,百草豐茂。
"Thu phong tiêu sắt,",秋風蕭瑟，
Hồng ba dũng khởi.,洪波湧起。
"Nhật nguyệt chi hành,",日月之行，
Nhược xuất kỳ trung;,若出其中；
"Tinh hán xán lạn,",星漢燦爛，
Nhược xuất kỳ lý.,若出其里。
"Hạnh thậm chí tai,",幸甚至哉，
Ca dĩ vịnh chí.,歌以詠志。
"Mạnh đông thập nguyệt,",孟冬十月，
"Bắc phong bồi hồi,",北風徘徊，
"Thiên khí túc thanh,",天氣肅清，
Phồn sương phi phi.,繁霜霏霏。
"Côn kê thần minh,",鶤雞晨鳴，
"Hồng nhạn nam phi,",鴻雁南飛，
"Chí điểu tiềm tàng,",鷙鳥潛藏，
Hùng bi quật tức.,熊羆窟息。
