vi,ch
"Không trung du ty dĩ vô lại,",空中游絲已無賴，
Uyển chuyển dương hoa do bách thái.,宛轉楊花猶百態。
"Tuỳ phong phác trướng phất hương liêm,",隨風扑帳拂香奩，
Độ thuỷ điểm y oanh cẩm đái.,度水點衣縈錦帶。
"Khinh bạc điên cuồng phong thướng há,",輕薄顛狂風上下，
Yến tử oanh nhi các tân giá.,燕子鶯儿各新嫁。
"Thoa đầu tẫn truỵ ngọc trùng sơ,",釵頭燼墜玉蟲初，
Bồn lý ty tao ngân kiển sạ.,盆里絲繅銀繭乍。
"Dục lạc bất lạc xuân chiểu bình,",欲落不落春沼平，
Vô căn vô đế tác phù bình.,無根無蒂作浮萍。
"Hiệt ba tú đài tổng thành mị,",纈波繡苔總成媚，
Nhân gian tối hảo thị thanh minh.,人間最好是清明。
"Thanh minh diễm dương tam nguyệt thiên,",清明艷陽三月天，
Đế lý yên hoa táp tửu thuyền.,帝里煙花匝酒船。
"Thạch kiều hoành trực nhân gia hảo,",石橋橫直人家好，
Tiểu hải bạch ngư khiêu bích tảo.,小海白魚跳碧藻。
"Du giáp hà tiền oán biệt ly,",榆莢荷錢怨別離，
Bất tự dương hoa uyển chuyển phi.,不似楊花宛轉飛。
"Dương hoa phi tận lục âm hợp,",楊花飛盡綠陰合，
Cánh khán minh niên xuân vũ thì.,更看明年春雨時。
