vi,ch
"Duy đại quân chi bá vật, phú yêu cự chi vạn thù.",維大鈞之播物，賦么鉅之萬殊。
"Bỉ nhu nhuyễn dữ hội tối, phân động thực chi nan câu.",彼蠕蝡與薈蕞，紛動植之難俱。
"Hà diệp thượng chi mã nhi, nhân giả hợp nhi thành khu.",荷葉上之馬兒，因假合而成軀。
"Phúc diệp nhi bối hề, văn hữu luân nhi hữu tích; ngưỡng diệp nhi phúc hề, lục phi cảo nhi phi khô.",覆葉而背兮，文有倫而有脊；仰葉而腹兮，綠非槁而非枯。
"Lưỡng giác khuê tiêm, tự tiễn đồng nhi vi hý; tứ đề sương bạc, loại khắc chử nhi thành mô.",兩角圭尖，似剪桐而為戲；四蹄霜薄，類刻楮而成模。
"Cụ thể nhi vi, sàm thủ ngang nhi ức quảng; ngụ hình mạc biện, hỗn chi chuyết nhi anh phu.",具體而微，巉首昂而臆廣；寓形莫瓣，混枝綴而英敷。
"Tế phí thị chi nhi bất kiến, tiêu kiều sạ hữu nhi sạ vô.",蔽芾視之而不見，肖翹乍有而乍無。
"Vị vi bão diệp chi thiền, nhi huế minh chi phỉ thất; thí tắc hoá Trang chi điệp, hựu phúc bối nhi phi đồ.",謂為抱葉之蟬，而嘒鳴之匪匹；譬則化莊之蝶，又腹背而非徒。
"Khởi tiêu lộc chi hoang thuyết, hạt mao quân chi hậu vu.",豈蕉鹿之荒說，曷茅麇之厚誣。
"Nhận thiên giáng diệp thân chi thuỵ trùng, nhi kỳ trạng hữu loại hồ long câu dã.",認天降葉身之瑞虫，而其狀有類乎龍駒也。
Tưởng phù:,想夫：
"Trường lâm tiêu táp, diệp động thiên giáp.",長林蕭颯，葉動千甲。
"Kình khí chỉ hề phù sơ, cương phong chấn hề đằng đạp.",勁氣砥兮扶疏，剛風振兮騰踏。
"Phi quan ngự bí, thục kỳ ký chi khả câu; tri kỷ xuân thu, tiếu huệ cô chi tương hiệp.",非關御轡，孰騏驥之可拘；知幾春秋，笑蟪蛄之相狎。
"Phiêu ngô đồng nhi phi khứ, Ký Bắc quần không; ma dương liễu nhi tương y, Hoa Dương tức tiệp.",飄梧桐而飛去，冀北群空；磨楊柳而相依，華陽息捷。
"Hạp quy lễ nghĩa chi đại nhàn, thệ uỷ khinh vi nhi báo đáp.",盍歸禮義之大閑，誓委輕微而報答。
Nhĩ nãi:,爾乃：
"Tích độn hoang dã, kim lai động thiên.",昔遯荒野，今來洞天。
"Từ thảo mộc chi câu hủ, căng súc dưỡng chi đại ân.",辭草木之俱腐，矜畜養之大恩。
"Thê tung hồ quỳnh chi chi thượng, tức ảnh ư châu liêm chi tiền.",棲蹤乎瓊枝之上，息影於珠簾之前。
"Tịch ẩm mộc lan chi cam lộ, triều xan tử phủ chi tường yên.",夕飲木蘭之甘露，朝餐紫府之祥煙。
"Nhất cố nhi giá tăng bách bội, thân chỉ nhi như trước tiên tiên.",一顧而價增百倍，親指而如著先鞭。
"Ngoại mẫu tẫn ly hoàng chi tướng pháp, miễn kỳ hành huế tức chi khuynh điên.",外牡牝驪黃之相法，免蚑行喙息之傾顚。
"Thiết quan phù hoá công tiêu hình chi xảo diệu, nhi tri phù hiền tướng tạo hoá chi đại toàn.",竊觀夫化工肖形之巧妙，而知夫賢相造化之大全。
Ta phù!,嗟夫！
"Nhân chi hữu thường, thời đăng chí trị.",人之有常，時登至治。
"Ký bảo hợp ư thái hoà, nghi chư phúc chi tất chí.",既保合於太和，宜諸福之畢至。
"Thiên giáng tư trùng, khỉ vô thâm ý.",天降斯虫，豈無深意。
"Mã như quyết trạng, thị quân tử chi đắc dư; diệp tác kỳ thân, kiến thương sinh chi đại tý.",馬如厥狀，視君子之得與；葉作其身，見蒼生之大庇。
Thả:,且：
"Mã giả long dã, phù khai địa chi vô cương; diệp giả mậu dã, triệu bản chi chi bách thế.",馬者龍也，符開地之無疆；葉者茂也，兆本支之百世。
"Thẩn tư trùng dã: sản ư Kim Âu chi thượng, diệu ư động thiên chi địa.",矧斯虫也：產於金甌之上，曜於洞天之地。
"Thích đương Linh Đài kinh thuỷ chi sơ, xuất ứng Lạc Ấp trạch trung chi tế.",適當靈臺經始之初，出應洛邑宅中之際。
"Vi vật tao phùng, ức niên quan hệ.",微物遭逢，億年關係。
"Nô tài hà hạnh, đổ tư hưu mỹ.",駑材何幸，睹斯休美。
"Cảm hủ mộc chi tái sinh, hà thức đạo chi bất bỉ.",感腐木之再生，苛識道之不鄙。
"Thao Phượng Trì Kim Mã chi vinh, tạo Lãng Uyển Bồng Hồ chi bí.",叨鳳池金馬之榮，造閬苑蓬壼之秘。
"Cố điêu trùng khắc triện chi phỉ công, phú đắc hiền vi thượng thuỵ.",顧雕虫刻篆之匪工，賦得賢為上瑞。
