vi,ch
"Diêu công mĩ chính thuỳ dữ trù,",姚公美政誰與儔，
Bất giảm tích thì Trần Thái Khâu.,不減昔時陳太丘。
"Ấp trung thượng khách hữu trụ sử,",邑中上客有柱史，
Đa hạ nhật bồi thông mã du.,多暇日陪驄馬遊。
"Đông sơn cao đỉnh la trân tu,",東山高頂羅珍羞，
Hạ cố thành quách tiêu ngã ưu.,下顧城郭銷我憂。
"Thanh giang bạch nhật lạc dục tận,",清江白日落欲盡，
Phục huề mỹ nhân đăng thái chu.,復攜美人登彩舟。
"Địch thanh phẫn oán ai trung lưu,",笛聲憤怨哀中流，
Diệu vũ uy di dạ vị hưu.,妙舞逶迤夜未休。
"Đăng tiền vãng vãng đại ngư xuất,",燈前往往大魚出，
Thính khúc đê ngang như hữu cầu.,聽曲低昂如有求。
"Tam canh phong khởi hàn lãng dũng,",三更風起寒浪湧，
Thủ lạc huyên hô giác thuyền trọng.,取樂喧呼覺船重。
"Mãn không tinh hà quang phá toái,",滿空星河光破碎，
Tứ toà tân khách sắc bất động.,四座賓客色不動。
"Thỉnh công lâm thâm mạc tương vi,",請公臨深莫相違，
Hồi thuyền bãi tửu thướng mã qui.,回船罷酒上馬歸。
"Nhân sinh hoan hội khởi hữu cực,",人生歡會豈有極，
Vô sử sương quá triêm nhân y.,無使霜過沾人衣。
