vi,ch
"Lạc Dương nữ nhi đối môn cư,",洛陽女兒對門居，
Tài khả dung nhan thập ngũ dư.,纔可容顏十五餘。
"Lương nhân ngọc lặc thừa thông mã,",良人玉勒乘驄馬，
Thị nữ kim bàn khoái lý ngư.,侍女金盤膾鯉魚。
"Hoạ các chu lâu tận tương vọng,",畫閣朱樓盡相望，
Hồng đào lục liễu thuỳ thiềm hướng.,紅桃綠柳垂簷向。
"La vi tống thượng thất hương xa,",羅幃送上七香車，
Bảo phiến nghinh quy cửu hoa trướng.,寶扇迎歸九華帳。
"Cuồng phu phú quý tại thanh xuân,",狂夫富貴在青春，
Ý khí kiêu xa kịch Quý Luân.,意氣驕奢劇季倫。
"Tự liên Bích Ngọc thân giao vũ,",自憐碧玉親教舞，
Bất tích san hô trì dữ nhân.,不惜珊瑚持與人。
"Xuân song thự diệt cửu vi hoả,",春窗曙滅九微火，
Cửu vi phiến phiến phi hoa toả.,九微片片飛花璅。
"Hí bãi tằng vô lý khúc thì,",戲罷曾無理曲時，
Trang thành kỳ thị huân hương toạ.,妝成祇是薰香坐。
"Thành trung tương thức tận phồn hoa,",城中相識盡繁華，
"Nhật dạ kinh quá Triệu, Lý gia.",日夜經過趙李家。
"Thuỳ liên Việt nữ nhan như ngọc,",誰憐越女顏如玉，
Bần tiện giang đầu tự hoán sa.,貧賤江頭自浣紗。
