vi,ch
"Cửu địa hà tu nhất ngoã quan,",九地何須一瓦棺，
Danh năng bất hủ độc tao đàn.,名能不朽獨騷壇。
"Sắc không không sắc tùng lai huyễn,",色空空色從來幻，
Bất tín Nam Hoa thức nhất quan.,不信南華識一觀。
"Tương phùng thả mạn vấn xuân thu,",相逢且漫問春秋，
Sở quý nam nhi túc vị thù.,所貴南兒夙未酬。
"Lãng tiếu thế gian nhân huý tử,",浪笑世間人諱死，
Mạc nhiên tịnh tiết cánh thuỳ trù.,邈然靖節更誰儔。
"Quan đầu mộng giác vị thành chân,",關頭夢觉未成眞，
Do hướng nhân hoàn điệt chủ tân.,猶向人寰迭主賓。
"Chính khí túng nhiên hoàn tuyển hoá,",正氣縱然還選化，
Dã vô đại hoạn dã vô thân.,也無大患也無身。
"Tử sinh hữu mệnh cổ nhi nhiên,",死生有命古而然，
Duy thị bành thương tổng tượng tiên.,維是彭殤總象先。
"Chí nghiệp tự ngô tu tố đáo,",志業自吾須做到，
Trần tiêu khước bộ cánh giai tiền.,塵消却步更皆前。
