vi,ch
"Tam Sơn vân hải kỷ thiên lý,",三山雲海幾千里，
Thập bức bồ phàm quải yên thuỷ.,十幅蒲帆挂煙水。
"Ngô Trung quá khách mạc tư gia,",吳中過客莫思家，
Giang Nam hoạ thuyền như ốc lý.,江南畫船如屋里。
"Lô nha đoản đoản xuyên bích sa,",蘆芽短短穿碧沙，
Thuyền đầu lý ngư xuy lãng hoa.,船頭鯉魚吹浪花。
"Ngô cơ đãng tương nhập thành khứ,",吳姬蕩槳入城去
Tế vũ tiểu hàn sinh lục sa.,細雨小寒生綠紗。
"Ngã ca Thuỷ điệu vô nhân tục,",我歌水調無人續，
Giang thượng nguyệt lương xuy Tử trúc.,江上月涼吹紫竹。
"Xuân phong nhất khúc Giá cô từ,",春風一曲鷓鴣詞，
Hoa lạc oanh đề mãn thành lục.,花落鶯啼滿城綠。
