vi,ch
"Vạn lý thuỷ hối nhất thuỷ đại,",萬里水匯一水大，
Hoanh hoanh thanh văn thập lý ngoại.,訇訇聲聞十里外。
"Nham khẩu bức trắc thế cánh hung,",岩口逼仄勢更凶，
Đoạt môn nhi xuất huyền bạch long.,奪門而出懸白龍。
"Long tu đái vũ dục nhật hồng,",龍須帶雨浴日紅，
Kim quang ngọc sắc tương đãng thung.,金光玉色相蕩舂。
"Tuyết tịnh giao tiêu lạc đao xích,",雪凈鮫綃落刀尺，
Đại châu tiểu châu phiêu tuỳ phong.,大珠小珠飄隨風。
"Phong chiết điệp chi hội biến tướng,",風折疊之繪變相，
Tam giáng tam thăng thạch bất nhượng.,三降三升石不讓。
"Hữu như trường can đảo phách Nhục Phi Tiên,",有如長竿倒拍肉飛仙，
Trung tuyệt viên thằng dược phục thượng.,中絕援繩躍復上。
"Phục Tê mai đầu bất cảm xuất,",伏犀埋頭不敢出，
Hoài bảo an miên già bộ chướng.,懷寶安眠遮步障。
"Ngã dục cát thủ thử thuỷ trí tụ trung,",我欲割取此水置袖中，
Viết hằng úc nhược thư càn phong.,曰恆燠若書乾封。
"Khấu môn kiết bình trích mã tùng,",叩門絜瓶滴馬鬃，
Cảo miêu bình địa thanh bồng bồng.,搞苗平地青芃芃。
"Khởi bất hiền vu Cốc Tuyền chi tại Hương Lô phong,",豈不賢于谷泉之在香爐峰，
Toạ hưởng đại danh nhi vô công.,坐享大名而無功。
