vi,ch
"Ta dư vị táng,",嗟予未喪，
Ai thử cô sinh.,哀此孤生。
"Bình cư Lam Điền,",屏居藍田，
Bạc địa cung canh.,薄地躬耕。
"Tuế yến thâu thuế,",歲晏輸稅，
Dĩ phụng tư thịnh.,以奉粢盛。
"Thần vãng đông cao,",晨往東臯，
Thảo lộ vị hy.,草露未晞。
"Mộ khan yên hoả,",暮看煙火，
Phụ đảm lai quy.,負擔來歸。
"Ngã văn hữu khách,",我聞有客，
Túc tảo kinh phi.,足埽荊扉。
"Đan thực y hà,",簞食伊何，
Phúc qua trảo táo.,疈瓜抓棗。
"Ngưỡng xí quần hiền,",仰廁羣賢，
Bà nhiên nhất lão.,皤然一老。
"Quý vô hoàn điệm,",媿無莞簟，
Ban kinh tịch cảo.,班荊席藁。
"Phiếm phiếm đăng pha,",汎汎登陂，
Chiết bỉ hà hoa.,折彼荷花。
"Tĩnh quan tố vị,",靜觀素鮪，
Phủ ánh bạch sa.,俯映白沙。
"Sơn điểu quần phi,",山鳥羣飛，
Nhật ẩn khinh hà.,日隱輕霞。
"Đăng xa thướng mã,",登車上馬，
Thúc hốt vân tán.,倏忽雲散。
"Tước táo hoang thôn,",雀噪荒村，
Kê minh không quán.,雞鳴空館。
"Hoàn phục u độc,",還復幽獨，
Trùng hy luỹ thán.,重欷累歎。
