vi,ch
"Liệt sĩ kích ngọc hồ,",烈士擊玉壺，
Tráng tâm tích mộ niên.,壯心惜暮年。
"Tam bôi phất kiếm vũ thu nguyệt,",三杯拂劍舞秋月，
Hốt nhiên cao vịnh thế sái liên.,忽然高詠涕灑漣。
"Phụng hoàng sơ há tử nê chiếu,",鳳凰初下紫泥詔，
Yết đế xưng tràng đăng ngự diên.,謁帝稱觴登御筵。
"Du dương cửu trùng vạn thừa chủ,",揄揚九重萬乘主，
Hước lãng xích trì thanh toả hiền.,謔浪赤墀青瑣賢。
"Triêu thiên sổ vãn phi long mã,",朝天數挽飛龍馬，
Sắc tứ san hô bạch ngọc tiên.,敕賜珊瑚白玉鞭。
"Thế nhân bất thức Đông Phương Sóc,",世人不識東方朔，
Đại ẩn Kim Môn thị trích tiên.,大隱金門是謫仙。
"Tây Thi nghi tiếu phục nghi tần,",西施宜笑復宜顰，
Sửu nữ hiệu chi đồ luỵ thân.,丑女效之徒累身。
"Quân vương tuy ái nga mi hảo,",君王雖愛蛾眉好，
Vô nại cung trung đố sát nhân.,無奈宮中妒殺人。
