vi,ch
"Nhũ yên nhập sào duẩn thành trúc,",乳燕入巢筍成竹，
Thuỳ gia nhị nữ chủng tân cốc.,誰家二女種新榖。
"Vô nhân vô ngưu bất cập lê,",無人無牛不及犁，
Trì đao chước địa phiên tác nê.,持刀斫地翻作泥。
"Tự ngôn “Gia bần mẫu niên lão,",自言家貧母年老，
Trưởng huynh tòng quân vị thú tẩu.,長兄從軍未娶嫂。
"Khứ niên tai dịch ngưu độn không,",去年災疫牛囤空，
Tiệt quyên mãi đao đô thị trung.,截絹買刀都市中。
"Đầu cân yểm diện uý nhân thức,",頭巾掩面畏人識，
Dĩ đao đại ngưu thuỳ dữ đồng?”,以刀代牛誰與同？
"Tỷ muội tương huề tâm chính khổ,",姊妹相攜心正苦，
Bất kiến lộ nhân duy kiến thổ.,不見路人唯見土。
"Sơ thông huề lũng phòng loạn miêu,",疏通畦垅防亂苗，
Chỉnh đốn câu thăng đãi thời vũ.,整頓溝塍待時雨。
"Nhật chính nam cương hạ hướng quy,",日正南岡下餉歸，
Khả liên triều trĩ nhiễu kinh phi.,可憐朝雉擾驚飛。
"Đông lân tây xá hoa phát tận,",東鄰西舍花發盡，
Cộng tích dư phương lệ mãn y.,共惜餘芳淚滿衣。
