vi,ch
"Tương tiến tửu,",將進酒，
Tửu mãn kim khuất chi.,酒滿金屈巵。
"Khuyến quân thả ẩm mạc tu từ,",勸君且飲莫須辭，
Nhân sinh ưu dữ thân tương tuỳ.,人生憂與身相隨。
"Đoạ địa nhất thanh tiên thị đề,",墮地一聲先是啼，
Đỉnh đỉnh bách niên duy khủng trì.,鼎鼎百年惟恐遲。
"Công danh phú quý tu du thì,",功名富貴須臾時，
Hà dĩ giải chi duy thuần ly.,何以解之惟醇醨。
"Cổ nhân kim nhân bất tương tri,",古人今人不相知，
"Y Chu Giả Đổng giai trần nê,",伊周賈董皆塵泥，
Uyên Minh Thái Bạch chân long ly.,淵明太白真龍彲。
"Quân kim bất tuý tương yên vi,",君今不醉將焉為，
Quân kim bất tuý tương yên vi.,君今不醉將焉為。
