vi,ch
"Thượng chương Khốn Đôn chi tuế, Giả tử tế thi chi tịch, Cối Kê Kiết Kiếm sinh đẳng cẩn dĩ hàn tuyền lãnh hoa, tự thư thần Trường Ân, nhi chuế chi dĩ lý từ viết:","上章困敦之歲,賈子祭詩之夕，會稽戛劍生等謹以寒泉冷華，祀書神長恩，而綴之以俚詞曰："
"Kim chi tịch hề trừ tịch,",今之夕兮除夕，
Hương diễm nhân uẩn hề chúc diễm xích.,香焰絪縕兮燭焰赤。
"Tiền thần tuý hề tiền nô mang,",錢神醉兮錢奴忙，
Quân độc hà vi hề thủ tàn tịch?,君獨何為兮守殘籍？
"Hoa diên khai hề lạp tửu hương,",華筵開兮腊酒香，
Canh điểm điểm hề dạ trường.,更點點兮夜長。
"Nhân huyên hô hề nhập tuý hương,",人喧呼兮入醉鄉，
Thuỳ trãi quân hề nhất trường.,誰薦君兮一觴。
"Tuyệt giao a đổ hề thượng thặng tàn thư,",絕交阿堵兮尚剩殘書，
Bả tửu đại hô hề quân lâm ngã cư.,把酒大呼兮君臨我居。
"Tương kỳ hề vân dư,",湘旗兮芸輿，
Khiết Mạch vọng hề giá đố ngư.,挈脈望兮駕蠹魚。
"Hàn tuyền hề cúc thư,",寒泉兮菊菹，
Cuồng tụng “Ly tao” hề vi quân ngu.,狂誦《离騷》兮為君娛。
"Quân chi lai hề vô từ từ,",君之來兮毋徐徐，
Quân hữu Tất phi hề Quản Thành hầu.,君友漆妃兮管城侯。
"Hướng bút hải nhi khiếu ngạo hề,",向筆海而嘯傲兮，
Ỷ văn trủng dĩ yêm lưu.,倚文塚以淹留。
"Bất phương đạo Mạch vọng nhi đăng tiên hề,",不妨導脈望而登仙兮，
Dẫn đố ngư chi lai du.,引蠹魚之來游。
"Tục đinh sanh phụ hề vi quân cừu,",俗丁傖父兮為君仇，
Vật sử lý quắc hề tăng quân tu.,勿使履閾兮增君羞。
"Nhược phất thính hề chỉ dĩ ngô câu,",若弗聽兮止以吳鉤，
"Thị chi “Khâu”, “Sách” hề cức kỳ hầu.",示之《丘》《索》兮棘其喉。
"Lệnh quản thành thoát dĩnh dĩ xuất hề,",令管城脫穎以出兮，
Sử bỉ chuyết chuyết dĩ tâm ưu.,使彼惙惙以心懮。
"Ninh chiêu thư tích hề lai thi tù,",寧招書癖兮來詩囚，
Quân vi ngã thủ hề nhạc vị hưu.,君為我守兮樂未休。
"Tha niên cần mậu nhi tê hương hề,",他年芹茂而樨香兮，
Dị tịch dĩ tương thù.,異籍以相酬。
