vi,ch
"Hữu thân mạc phạm phi long lân,",有身莫犯飛龍鱗，
Hữu thủ mạc biện mãnh hổ tu.,有手莫辮猛虎鬚。
"Quân khán tích nhật Nhữ Nam thị,",君看昔日汝南市，
Bạch đầu tiên nhân ẩn ngọc hồ.,白頭仙人隱玉壺。
"Tử du văn phong động song trúc,",子猷聞風動窗竹，
Tương yêu cộng tuý bôi trung lục.,相邀共醉杯中綠。
"Lịch dương hà dị sơn âm thì,",歷陽何異山陰時，
Bạch tuyết phi hoa loạn nhân mục.,白雪飛花亂人目。
"Quân gia hữu tửu ngã hà sầu,",君家有酒我何愁，
Khách đa lạc hàm bỉnh chúc du.,客多樂酣秉燭遊。
"Tạ thượng tự năng cù dục vũ,",謝尚自能鴝鵒舞，
Tương như miễn thoát túc sương cừu.,相如免脫鷫鷞裘。
"Thanh thần cổ trạo quá giang khứ,",清晨鼓櫂過江去，
Thiên lý tương tư minh nguyệt lâu.,千里相思明月樓。
