vi,ch
"Quan hà xuân thuỷ lục du du,",官河春水綠悠悠，
Thuỷ thượng nhân gia tận hoạ lâu.,水上人家盡畫樓。
"Mãi thủ Ngô oa tam nhật tửu,",買取吳娃三日酒，
Phóng thuyền trực đáo Bách Hoa Châu.,放船直到百花洲。
"Cao đài thiên xích đối tằng loan,",高臺千尺對層巒，
Chỉ hứa Ngô vương tuý lý khan.,只許吳王醉里看。
"Sơn sắc bất tuỳ Câu Tiễn khứ,",山色不隨勾踐去，
Du nhân hoàn đắc ỷ lan can.,游人還得倚闌乾。
"Trịnh giám phong lưu lão bất suy,",鄭監風流老不衰，
Nghê khoan đầu bạch cánh ưng si.,倪寬頭白更應癡。
"Ngô Việt anh hùng dĩ nê thổ,",吳越英雄已泥土，
Dục tòng giang hải vấn Tây Thi.,欲從江海問西施。
"Bách Hoa Châu thượng bách hoa khai,",百花洲上百花開，
Hoa thị Ngô vương cựu nhật tài.,花是吳王舊日栽。
"Ngô vương khứ hậu vô tiêu tức,",吳王去後無消息，
Tuế tuế khan hoa nhân tự lai.,歲歲看花人自來。
