vi,ch
"Địa mạch chí thử đoạn,",地脈至此斷，
Thiên Sơn dĩ bao thiên.,天山已包天。
"Nhật nguyệt hà xứ thê,",日月何處棲，
Tổng quải thanh tùng điên.,總掛青松巔。
"Cùng đông lăng lăng sóc phong liệt,",窮冬棱棱朔風裂，
Tuyết sắc bao sơn một sơn cốt.,雪色包山沒山骨。
"Phong hình tích cổ thuỳ năng khuy,",峰形積古誰能窺？
Thượng hữu hồng mông vạn niên tuyết.,上有鴻濛萬年雪。
"Thiên Sơn chi thạch lục như ngọc,",天山之石綠如玉，
Tuyết dữ thạch quang giai nhiễm lục.,雪與石光皆染綠。
"Bán không thạch truỵ băng hốt khai,",半空石墜冰忽開，
Đối diện cư nhiên lạc phi bộc.,對面居然落飛瀑。
"Thanh tùng cương đầu thử lục lương,",青松岡頭鼠陸梁，
Nhất nhất câu dục xan thiên quang.,一一俱欲餐天光。
"Một lâm nhược trĩ phi bất khởi,",沒林弱雉飛不起，
Kinh nguyệt bão đạm tùng hoa hương.,經月飽啖松花香。
"Nhân hành sơn khẩu tuyết một tung,",人行山口雪沒蹤，
Sơn phúc cửu dĩ tàng xuân phong.,山腹久已藏春風。
"Thuỷ tri linh cảnh quýnh nhiên dị,",始知靈境迥然異，
Khí hậu đốn dữ tam tiêu thông.,氣候頓與三霄通。
"Ngã vị trường Thành bất tu trúc,",我謂長城不須筑，
Thử hiểm thiên giao hạn sa mạc.,此險天教限沙漠。
"Sơn nam sơn bắc nhĩ hử trường,",山南山北爾許長，
Hãn Hải Hoàng Hà tư khởi phục.,瀚海黄河茲起伏。
"Tha thời trục khách thảng đắc hoàn,",他時逐客倘得還，
Trí trủng diệc tượng kỳ liên san.,置冢亦象祁連山。
"Khống huyền túng tốn phiêu kị Hoắc,",控弦縱遜票騎霍，
Đầu bút hoặc tự Phù Phong Ban.,投筆或似扶風班。
"Biệt gia cận dĩ vong niên tải,",別家近已忘年載，
Nhật xuất thương minh thảng gia tại.,日出滄溟倘家在。
"Liên phong ngẫu nhất vọng đông nam,",連峰偶一望東南，
Vân khí mang mang sinh phúc bối.,雲氣茫茫生腹背。
"Cửu châu ngã tích lý hiểm di,",九州我昔履險夷，
Ngũ nhạc đính thượng đô tiêu đề.,五岳頂上都標題。
"Nam Điều, Bắc Điều đẳng nhàn nhĩ,",南條北條等閑耳，
"Thái Ất, Thái Thất du thử kỳ.",太乙太室輸此奇？
"Kỳ chung tái ngoại thiên hề thủ,",奇鍾塞外天奚取？
Phong lực xuy nhân mãnh phi vũ.,風力吹人猛飛舞。
"Nhất phong khuyết xứ bổ nhất vân,",一峰缺處補一雲，
Nhân dục xuất sơn vân bất hứa.,人欲出山雲不許。
