vi,ch
"Thần long khởi hề phi Lam Kinh,",神龍起兮飛藍京，
"Thiên qua chỉ hề sóc tái thanh,",天戈指兮朔塞清，
"Sáng nghiệp chi công thành bí bí,",創業之功成閟毖，
Tây thổ chi sơn xuyên hữu linh.,西土之山川有靈。
"Ê ngã hoàng chi thánh võ,",繄我皇之聖武，
Đương tứ phương chi kinh dinh.,當四方之經營。
"Quốc bộ phương truân,",國步方屯，
Tâm khốn lự hành.,心困慮衡。
"Ký ư thiên nhi thủ tất,",既於天而取必，
Nãi lệ chí dĩ cạnh thành.,乃勵志以競成。
"Thử kim nhật sở dĩ hoá Hồ Việt vi nhất gia,",此今日所以化胡越為一家，
Nhi tư sơn đắc dĩ thiên cổ thuỳ danh dã.,而茲山得以千古垂名也。
Đương kỳ:,當其：
"Nghĩa binh sơ khởi, tặc thế phương trương;",義兵初起，賊勢方張；
"Nhất quốc anh hào, thu thụ vẫn sương.",一國英豪，秋樹隕霜。
"Chí thôn Ngô hề, thục Chủng thục Lãi?",志吞吳兮，孰種孰蠡；
"Đồ hưng Hán hề, thục Bình thục Lương?",圖興漢兮，孰平孰良。
"Ngã hoàng phương độn tích vu tư sơn, duy sạn thái dĩ mai quang.",我皇方遁跡于茲山，惟鏟採以埋光。
"Thê tử lưu ly, sĩ tốt tán vương.",妻子流離，士卒散亡。
"Tuy xử khốn nhi ích hanh, tri tương hưng chi hữu tường.",雖處困而益亨，知將興之有祥。
"Cung giới trụ dĩ vi y, thực thái căn nhi vi lương.",躬介胄以為衣，食菜根而為糧。
"Chí cấp cấp ư đồ hồi, tâm uất uất nhi bất vương.",志汲汲於圖回，心鬱鬱而不忘。
"Tưởng thử sơn ư thử thì hề, khởi bất tự Hán hoàng chi tại Mang Đãng giả gia?",想此山於此時兮，豈不似漢皇之在芒碭者耶？
"Do kỳ tri bỉ tri kỷ, năng nhược năng cường;",由其知彼知己，能弱能強；
"Đãi thì tứ tệ, thu phong liễm mang;",待時伺弊，收鋒斂芒；
"Chẩm tân nhi ngoạ, huyền đảm nhi thường;",枕薪而卧，懸膽而嘗；
"Tư tuyết tiền sỉ, dĩ phục cố cương.",思雪前恥，以復故疆。
"Tưởng thử sơn ư tư thì hề, khởi bất tự Cối Kê chi thê Việt vương giả gia?",想此山於斯時兮，豈不似會稽之棲越王者耶？
Ký nãi:,既乃：
"Thu kỳ tán tốt, phủ dưỡng ích cần;",收其散卒，撫養益勤；
"Nội tu chiến cụ, ngoại thác hoà thân.",內修戰具，外托和親。
"Quyên kim mộ sĩ, sát tượng hưởng quân.",捐金募士，殺象饗軍。
"Nhân hoài thân thượng dĩ tử trưởng,",人懷親上以死長，
Tư dục hiệu lực dĩ thù ân.,思欲效力以酬恩。
Ư thị:,於是:
"Luyện binh khiển tướng, chế thắng xuất kỳ.",練兵遣將，製勝出奇。
"Sinh nhục tử vinh, tri ngã quân chi khả dụng;",生辱死榮，知我軍之可用；
"Hướng lương khí giới, cáo nhân địch dĩ vi tư.",餉糧器械，告因敵以為資。
"Vạn toàn dĩ thủ, nhất thốc bất di.",萬全以取，一簇不遺。
Cầm Bành kê đầu dĩ hiến địa;,琴彭稽頭以獻地；
Phương Chính hư hát dĩ đỗng nghi.,方政虛喝以恫疑。
"Nãi cứ hiểm nhi lập công, hựu đa phương dĩ ngộ chi.",乃據險而立功，又多方以誤之。
"Dạ tắc cử hoả, trú tắc trương kỳ.",夜則舉火，晝則張旗。
"Đỗ Gia chi xâm địa tranh tiện,",杜家之侵地爭便，
Khả Lưu chi độ giang trầm sư.,可留之渡江沉師。
"Lôi khu điện xiết, trúc phá hôi phi.",雷驅電掣，竹破灰飛。
"Châu kiệt doanh xa, Hoàng Thành bạo thi.",朱傑楹車，黃誠暴屍。
"Nghệ An chi địa, dĩ vi ngã hữu;",乂安之地，已為我有；
"Tây Đô chi tiệp, tật vu khu trì.",西都之捷，疾于驅馳。
"Giáp đạo hồ sát, lai giả như quy.",夾道壺察，來者如歸。
"Hào kiệt hàm phẫn dĩ thiết xỉ,",豪傑咸憤以切齒，
"Phụ lão cảm khấp nhi hy hy,",父老感泣而欷欷，
"Ngã chi quân chỉnh, nhật dĩ ích chấn;",我之軍整，日以益振；
"Tặc chi bôn mệnh, nhật dĩ ích bì.",賊之奔命，日以益疲。
"Thị Kiều chi băng đê hội nghĩ,",市橋之崩堤潰蟻，
Tốt Động chi kình phong tồi nuy.,窣洞之勁風摧萎。
"Trần Hiệp, Lý Lượng chi thâm khanh truỵ hổ,",陳洽李亮之深坑墜虎，
"Vương Thông, Mã Kỳ chi phí đỉnh ngư nhi.",王通馬騏之沸鼎魚兒。
"Vạn lý chi sơn hà khắc phục,",萬里之山河剋復，
Đông Đô chi thị tứ bất di.,東都之市肆不移。
"Đương thử chi thì, khởi bất tự Hán Cao Cai Hạ tứ nhi chi vi giả gia?",當此之時，豈不似漢高垓下四而之圍者耶？
"Nại hà,",奈何，
"Cuồng lỗ chi tham tâm bất tập,",狂虜之貪心不戢，
Cử quốc chi viện binh phục lai.,舉國之援兵復來。
"Dĩ du cứu phần, nhạc hoạ hạnh tai.",以油救焚，樂禍幸災。
Liễu Thăng tống tử nhi Chi Lăng lưu huyết;,柳升送死而支棱流血；
Mộc Thạnh tiêu độn nhi Lãnh Kinh tích hài.,沐晟宵遁而冷涇積骸。
"Lưỡng lộ cứu binh, bất toàn chủng nhi câu bại;",兩路救兵，不旋踵而俱敗；
"Các xứ tặc thành, bất huyết nhận nhi tự khai.",各處賊城，不血刃而自開。
"Trạo vĩ khất liên, thành thiết kham ai.",棹尾乞憐，誠切堪哀。
"Đương thử chi thì, khởi bất tự Câu Tiễn chi khốn Ngô vương vu Cô Tô đài giả gia?",當此之時，豈不似勾踐之困吳王于姑蘇台者耶？
"Tuy nhiên,",雖然，
"Hán Cao chi quy mô hoành vi, chính tự Ngô hoàng kim nhật chi thịnh;",漢高之規模宏違，正似吾皇今日之盛；
"Câu Tiễn đặc thủ kỳ phục cừu chi chí nhi kỷ, khởi túc dĩ nghĩ nghị kỳ vạn nhất tai.",勾踐特取其復仇之志而己，豈足以擬議其萬一哉。
Chí nhược:,至若：
"Thần võ bất nghị, đại đức hảo sinh.",神武不毅，大德好生。
"Niệm quốc gia trưởng cửu chi kế,",念國家長久之計，
Phóng thập vạn khất giáng chi binh.,放十萬乞降之兵。
"Tu lưỡng quốc chi hoà hảo,",修兩國之和好，
Tức vạn thế chi chiến tranh.,息萬世之戰爭。
"Toàn quốc vi thượng, duy đồ tập ninh.",全國為上，惟圖輯寧。
"Thị tắc ngã hoàng chi thịnh đức,",是則我皇之盛德，
"Hựu khởi Cao Tổ đồng nhật chi câu ngữ,",又豈高祖同日之俱語，
"Tướng dữ Nhị Đế, Tam Vương nhi tịnh xưng giả dã.",將與二帝三王而並稱者也。
Ta hồ!,嗟乎！
"Cổ vãng kim lai, bách thế khả thôi.",古往今來，百世可推。
"Nghiêu hưng Đường hầu, Thuấn khởi trắc vi.",堯興唐侯，舜起側微。
"Thành Thang chi tai tự Hào,",成湯之哉自毫，
Thái vương chi thiên vu Kỳ.,太王之遷于岐。
"Cái đa nan nãi điển bang chi bản,",蓋多難乃典邦之本，
Nhi ân ưu thực khởi thánh chi cơ.,而殷憂實啟聖之基。
"Lịch biến đa tắc tư hư thâm,",歷變多則思虛深，
Kế sự viễn tắc thành công kỳ.,計事遠則成功奇。
"Đế vương chi hưng, mạc bất do tư.",帝王之興，莫不由斯。
"Nhiên tắc, ngã hoàng chi nghiệp,",然則，我皇之業，
Thực do thử sơn nhi sang thuỷ;,實由此山而創始；
"Nhi ngã hoàng chi long công thịnh đức,",而我皇之隆功盛德，
Trưởng dữ thử sơn nhi nguy nguy giả hồ!,長與此山而巍巍者乎！
Nãi bái thủ kê thủ nhi hiến ca viết:,乃拜首稽首而獻歌曰：
Thiên khởi thánh hề địa hưng vương;,天啟聖兮地興王；
Càn khôn thảo muội hề vận tế phi thường.,乾坤草昧兮運際非常。
"Đổ tư sơn chi nga nga hề, niệm tích nhật chi gian khổ;",睹茲山之峨峨兮，念昔日之艱苦；
"Phủ vương nghiệp chi du cơ hề, hà nhật năng vương.",撫王業之攸基兮，何日能忘。
"Nguyện kỷ thịnh đức dĩ lặc trinh mân hề, vĩnh thuỳ bất hủ;",願紀盛德以勒貞珉兮，永垂不朽；
"Tuyên thiên cổ dữ vạn cổ hề, đồng thiên địa nhi trưởng cửu.",亘千古與萬古兮，同天地而長久。
