vi,ch
"Hiền vương ái mã như ái nhân,",賢王愛馬如愛人，
Nhân dữ mã tịnh phân vương nhân.,人與馬並分王仁。
"Vương lạc dưỡng mã vong khổ tân,",王樂養馬忘苦辛，
Cung cấp vương mã vương chi dân.,供給王馬王之民。
"Mã nhật hột thuỷ thảo bách cân,",馬日齕水草百斤，
Đại mạch tiểu mạch thập đẩu quân.,大麥小麥十斗勻。
"Tiểu đậu đại đậu dịch đệ tần,",小豆大豆驛遞頻，
Mã dạ hột đậu nhưng sổ tuần.,馬夜齕豆仍數巡。
"Mã phì vương hỷ vương bất sân,",馬肥王喜王不嗔，
Mã tích vương nộ vương phác nhân.,馬瘠王怒王扑人。
"Đông sơn giáo trường địa quảng khoát,",東山教場地廣闊，
Trúc cứu dưỡng mã phàm thiên quần.,築廄養馬凡千群。
"Bắc thành mã cứu tiên quỷ phần,",北城馬廄先鬼墳，
Mã cứu dưỡng mã vương quan quân.,馬廄養馬王官軍。
"Thành nam mã cứu cận đại hải,",城南馬廄近大海，
Mã ái ẩm thuỷ hải thuỷ thanh.,馬愛飲水海水清。
"Tây quan mã cứu tại thành hạ,",西關馬廄在城下，
thành hạ phóng mã mã tản hành.,城下放馬馬散行。
"Thành hạ không địa đa thảo sinh,",城下空地多草生，
Mã đầu thực thảo mã vĩ hoành.,馬頭食草馬尾橫。
"Vương dụ: “Dưỡng mã yếu đắc mã tính tình,",王諭『養馬要得馬性情，
Mã lai tự biên tái mã bất khinh.,馬來自邊塞馬不輕。
"Nhân hữu xỉ mã, phục dĩ thượng hình.”",人有齒馬，服以上刑。』
"Bạch mã vương lạc dĩ châu lặc,",白馬王絡以珠勒，
Hắc mã vương lạc dĩ tử anh.,黑馬王絡以紫纓。
Tử lưu mã dĩ Đào Hoa danh.,紫騮馬以桃花名。
"Ban mã xuyết ngọc tao,",斑馬綴玉繅，
Hồng mã xuyết kim linh.,紅馬綴金鈴。
"Vương nhật sổ mã, điểm dưỡng mã đinh.",王日數馬，點養馬丁。
"Nhất mã bất kiến, vương tâm bất ninh.",一馬不見，王心不寧。
"bách tính khất vi vương mã, vương bất ưng.",百姓乞為王馬王不應。
