vi,ch
"Nhân sinh tam vạn lục thiên nhật,",人生三萬六千日，
Dư dĩ nhị vạn thất thiên vị đắc tức.,余已二萬七千未得息。
"Túng nhiên thiên thọ xỉ Kiều Bành,",縱然天壽齒喬彭，
Đắc táng bi hoan khởi chung cực.,得喪悲歡豈終極。
"Thiều linh chi niên phó bất tri,",髫齡之年付不知，
Cập dĩ trưởng thành thượng ký ức.,及已長成尚記憶。
"Thất hỗ hu ta tảo viết cô,",失怙吁嗟早曰孤，
Dưỡng dục địch phong tư mẫu đức.,養育荻風思母德。
"Ư quốc ư gia ký quyết tâm,",於國於家既厥心，
Vi tử vi thần cung bính chức.,為子為臣供屏織。
"Phong đào lam chướng nhất thân khinh,",風濤嵐瘴一身輕，
Bôn tẩu tiên hậu phi bất lực.,奔走先後非不力。
"Hoạn hải thăng trầm tứ thập niên,",宦海升沉四十年，
Lao lao hoàn hữu hưu hưu đắc.,勞勞還有休休得。
"Kỷ kinh thương hải biến tang điền,",幾經滄海變桑田，
Vô hạn tiêu lao tịnh mục tật.,無限焦勞并目疾。
"Phục ngoại cô trung lão vị hưu,",伏外孤忠老未休，
Đồ bào Kỷ ưu chung uất ức.,徒抱杞憂終鬱抑。
"Tự phận càn khôn nhất chuế vưu,",自分乾坤一贅疣，
Bệnh ký bi minh kỳ tẩm thực.,病驥悲鳴其寢食。
"Hồ nhiên nhi đế sử hư sinh,",胡然而帝使虛生，
Hồ nhiên nhi thiên bất tảo cức.,胡然而天不早殛。
"Tích thệ tuỳ bỉ Phan An Nhân,",惜逝隨彼潘安人，
Đương cùng lãng tiếu Đoàn Thành Thức.,當窮浪笑段成式。
"An tri sự vật tổng quy vô,",安知事物總歸無，
"Sắc tức thị không, không thị sắc.",色即是空空是色。
"Hoạ phúc thương thương dã chủ trì,",禍福蒼蒼也主持，
Khởi tuẫn nhân gian cầu túc dục.,豈徇人間求足欲。
"Yếm trần cổ hữu Phạm Vũ Tử,",厭塵古有范武子，
Kỳ tử kim vô thiện vu chúc.,祈死今無善巫祝。
"Thiện chúc cổ hữu Hoa Phong nhân,",善祝古有華封人，
Đa thọ chuyển tư đa sỉ nhục.,多壽轉思多聇辱。
"Cố dư mấn phát tự Đồng Sơn,",顧余鬢髮似童山，
Bất giả tương nghinh tê thọ vực.,不假相迎躋壽域。
"Ý dã thiên công gia ngã niên,",意也天工加我年，
Thử gian ổi lỗi tu chung khúc.,此間傀儡須終曲。
"Ý dã thiên quý sắc ngã tử,",意也天愧嗇我死，
Thử gian dịch kỳ tu chung cục.,此間奕棋須終局。
"Cư dịch sĩ mệnh phục hà khinh,",居易俟命復何輕，
Na tri tu đoản dữ tốc trì.,那知修短與速遲。
"Kim tiêu tịch mịch khổ canh trường,",今宵寂寞苦更長，
Toạ lập thư trai chân cục cục.,坐立書齋真跼跼。
"Uyển nhược Đường Lô dĩ thượng nhân,",宛若唐盧以上人，
Hồn vô tri thức hồn vô tục.,渾無知識渾無俗。
