vi,ch
"Dĩnh Châu lão ông bệnh thả luy,",穎州老翁病且羸，
Tiêu tiêu đoản phát thu sương thuỳ.,蕭蕭短髮秋霜垂。
"Thủ phù khô cùng hành phục khước,",手扶枯筇行復卻，
Thám biều cái thực hà chi mi.,探瓢丐食河之湄。
"Ngã ai kỳ bần vị cố vấn,",我哀其貧為顧問，
Dục ngữ ngạnh yết thôn thanh bi.,欲語哽咽吞聲悲。
"Tự ngôn thành đông tích đại hộ,",自言城東昔大戶，
Du điền thập khoảnh tang âm vi.,腴田十頃桑陰圍。
"Hạp môn lão trĩ tam bách chỉ,",闔門老稚三百指，
Y thực tận túc thường hy hy.,衣食盡足常熙熙。
"Hà Nam niên lai sổ cang hạn,",河南年來數亢旱，
Xích địa thiên lý hoàng trần phi.,赤地千里黃塵飛。
"Mạch hoà cảo tử túc bất thục,",麥禾稿死粟不熟，
Trường sàm quải bích lê sinh y.,長饞挂壁犁生衣。
"Hoàng đường thái thú túc yến tẩm,",黃堂太守足宴寢，
Tiên phác bách tính cùng cao chi.,鞭扑百姓窮膏脂。
"Quát thiên ty trúc dạ hàm ẩm,",聒天絲竹夜酣飲，
Dương dương bất vấn dân đề ky.,陽陽不問民啼饑。
"Thị trung đẩu mễ thường thập thiên,",市中斗米償十千，
Cơ nhân chử quyết cung thần xuy.,饑人煮蕨供晨炊。
"Mộc bì bác tận thảo căn tử,",木皮剝盡草根死，
Thê tử tương đối sầu song mi.,妻子相對愁雙眉。
"Hộc hình luỵ luỵ khẩu sinh diệm,",鵠刑累累口生焰，
Luyến cát ngạ biễu vô hoàn ky.,臠割餓莩無完肌。
"Gian dân thừa khích tác đại đạo,",奸民乘隙作大盜，
Yêu cung khoá mã phân khu trì.,腰弓跨馬紛驅馳。
"Tiêu hô thâm lâm tụ hung ác,",嘯呼深林聚凶惡，
Hiệp lộng kiếm sáo dao tinh kỳ.,狎弄劍槊搖旌旗。
"Khứ niên tam nguyệt nhập châu trị,",去年三月入州治，
Cứ toạ đường thượng như hùng bi.,踞坐堂上如熊羆。
"Trường quan yêu nghinh lại tái bái,",長官邀迎吏再拜，
Quỹ tống ngưu tửu la giai trì.,饋送牛酒羅階墀。
"Thành trung hào gia tận phiêu lược,",城中豪家盡剽掠，
Huống tại thôn lạc nhân yên hy.,況在村落人煙稀。
"Liệt nang phẫu khuông thủ kim bạch,",裂囊剖筐取金帛，
Chử kê sát cẩu thi tiên si.,煮雞殺狗施鞭笞。
"Kim niên tai ngược cập Trần, Dĩnh,",今年災虐及陳穎，
Dịch độc tứ khởi dân lưu ly.,疫毒四起民流離。
"Liên thôn tỵ ốc tương chẩm tạ,",連村比屋相枕藉，
Túng hữu dược thạch nan phù trị.,縱有葯石難扶治。
"Nhất gia thập khẩu bất tam nhật,",一家十口不三日，
Cảo thúc tịch quyển mai hoang bi.,藁束席卷埋荒陂。
"Tử sinh thuỳ phục cố cốt nhục,",死生誰復顧骨肉，
Tính mệnh suyễn tức huyền hào ly.,性命喘息懸毫厘。
"Đại tôn thập tuế mại ngũ thiên,",大孫十歲賣五千，
Tiểu tôn tam tuế đầu thanh y.,小孫三歲投清漪。
"Chí kim Bình Chính kiều hạ thuỷ,",至今平正橋下水，
Độc lâu bạch cốt như sơn nhi.,髑髏白骨如山崖。
"Tú y sứ giả túc phong kỷ,",繡衣使者肅風紀，
Hạ xa phỏng sát dân sang di.,下車訪察民瘡痍。
"Lục chương trần từ đạt cửu bệ,",綠章陳辭達九陛，
Triệt dược giảm thiện tâm ưu nguy.,徹葯減膳心憂危。
"Triều đường tạp nghị hội nguyên lão,",朝堂雜議會元老，
Tuất hoang thảo tặc lao thâm ky.,恤荒討賊勞深机。
"Sơn Đông kiến tiết khai đại phủ,",山東建節開大府，
Tiện nghi khảm trảm dương thiên uy.,便宜砍斬揚天威。
"Thân quân tứ xuất tặc bôn hội,",親軍四出賊奔潰，
Cừ khôi kiêu thủ càn khôn di.,渠魁梟首乾坤夷。
"Bái quan nạp túc tuần cựu điển,",拜官納粟循舊典，
Chiến sĩ dũng dược giai hoan di.,戰士踴躍皆歡怡。
"Hoài Nam tư lẫm cửu hồng hủ,",淮南私廩久紅腐，
Chuyển du khởi tích thiên kim tư.,轉輸豈惜千金資。
"Khiển quan tuần hành cần phủ uý,",遣官巡行勤撫慰，
Chẩn túc cấp tệ tô dân bì.,賑粟給幣蘇民疲。
"Hoạch tồn suy hủ kiến kim nhật,",獲存衰朽見今日，
Bệnh cốt thượng nhĩ nan xanh trì.,病骨尚爾難撐持。
"Hướng phi thánh nhân niệm xích tử,",向非聖人念赤子，
Điền uỷ câu hác ưng vô nghi.,填委溝壑應無疑。
"Lão ông ngưỡng thiên lệ như vũ,",老翁仰天淚如雨，
Ngã diệc cảm kích sầu hư hy.,我亦感激愁歔欷。
"An đắc tứ hải khang thả phụ,",安得四海康且阜，
Ngũ phong thập vũ tư ứng kỳ.,五風十雨斯應期。
"Trưởng quan liêm bình huyện lệnh hảo,",長官廉平縣令好，
Sinh dân kích nhưỡng ca thanh thì.,生民擊壤歌清時。
"Nguyện ngôn quan phong thái thi giả,",愿言觀風采詩者，
Thận vật phế ngã Dĩnh Châu lão ông ai khổ từ.,慎勿廢我潁州老翁哀苦辭。
