vi,ch
"Ngọc giám trần sinh,",玉鑒塵生，
Phượng liêm hương trân.,鳳奩香珍。
"Lãn thiền mấn chi xảo sơ,",懶蟬鬢之巧梳，
Bế lũ y chi khinh luyện.,閉縷衣之輕練。
"Khổ tịch mịch ư thông cung,",苦寂寞於蔥宮，
Đãn chú tư hồ lan điện.,但注思乎蘭殿。
"Tín tiêu mai chi tận lạc,",信標梅之盡落，
Cách Trường Môn nhi bất kiến.,隔長門而不見。
Huống nãi:,況乃：
"Hoa tâm dương hận,",花心颺恨，
Liễu nhãn lộng sầu.,柳眼弄愁。
"Noãn phong tập tập,",暖風習習，
Xuân điểu thu thu.,春鳥瞅瞅。
"Lâu thượng hoàng hôn hề, thính phượng xuy nhi hồi thủ,",樓上黃昏兮，聽鳳吹而回首，
"Bích vân nhật mộ hề, đối tố nguyệt nhi ngưng mâu.",碧雲日暮兮，對素月而凝眸。
"Ôn Tuyền bất đáo, ức thập thuý chi cựu sự,",溫泉不到，憶拾翠之舊事，
"Nhàn đình thâm bế, ta thanh điểu chi tín tu.",閒庭深閉，嗟青鳥之信修。
Miễn phù:,緬夫：
"Thái Dịch thanh ba,",太液清波，
Thuỷ quang đãng phù.,水光蕩浮。
"Lạp ca thưởng yến,",笠歌賞宴，
Bồi tòng thần tu.,陪從宸修。
"Tấu vũ loan chi diệu khúc,",奏舞鸞之妙曲，
Thừa hoạ nghịch chi tiên chu.,乘畫鷁之仙舟。
"Quân tình khiển quyển,",君情繾綣，
Thâm tự trừu đoạn.,深敘綢緞。
"Thệ sơn hải nhi thường tại,",誓山海而常在，
Tự nhật nguyệt nhi mị hưu.,似日月而靡休。
Hà kỳ:,何期：
"Tật sắc dung dung,",嫉色庸庸，
Đố tâm xung xung.,妒心衝衝。
"Đoạt ngã chi ái hạnh,",奪我之愛幸，
Xích ngã hồ u cung.,斥我乎幽宮。
"Tư cựu hoan nhi bất đắc,",思舊歡而不得，
Tương mộng trước hồ mông lung.,相夢著乎朦朧。
"Độ hoa triêu dữ nguyệt tịch,",度花朝與月夕，
Dung độc đối hồ xuân phong.,慵獨對乎春風。
"Dục Tương Như chi tấu phú,",欲相如之奏賦，
Nại thế tài chi bất công.,奈世才之不工。
"Thuộc sầu ngâm chi vị cánh,",屬愁吟之未竟，
Dĩ hưởng động hồ sơ chung.,已響動乎疏鐘。
"Không trường thán nhi yểm duệ,",空長歎而掩袂，
Bộ trù trừ hồ lâu đông.,步躊躇乎樓東。
