vi,ch
"Vọng thu nguyệt,",望秋月，
Tại gia kiến nguyệt như đẳng nhàn.,在家見月如等閒。
"Kỷ độ thiên nhai vọng thu nguyệt,",幾度天涯望秋月，
Minh nguyệt tuy đồng phi cố sơn.,明月雖同非故山。
"Cử đầu vấn minh nguyệt,",舉頭問明月，
Cổ vãng kim lai kỷ viên khuyết?,古往今來幾圓缺？
"Minh nguyệt như hữu ngôn,",明月如有言，
Vấn ngã thiếu niên kim bạch phát.,問我少年今白髮。
"Quân bất kiến,",君不見，
"Phần thuỷ thu phong hồng nhạn lai,",汾水秋風鴻雁來，
Nghiệp trung ca vũ tận thương đài.,鄴中歌舞盡蒼苔。
"Ưu hoan chỉ vấn kim thì nguyệt,",憂歡只問今時月，
Tằng chiếu ly cung dữ lộ đài.,曾照離宮與露台。
"Kim nguyệt ưng tương cổ nguyệt đồng,",今月應將古月同，
Cổ nhân kim tại cửu tuyền trung.,古人今在九泉中。
"Thuỳ ngôn kim túc Tây Lăng hạ,",誰言金粟西陵下，
Bất kiến lưu quang đáo tử cung.,不見流光到梓宮。
