vi,ch
"Kim nhật khổ đoản tạc nhật hưu,",今日苦短昨日休，
Tuế vân mộ hĩ tăng ly ưu.,歲雲暮矣增離憂。
"Sương điêu bích thụ đãi cẩm thụ,",霜凋碧樹待錦樹，
Vạn hác đông thệ vô đình lưu.,萬壑東逝無停留。
"Hoang thú chi thành thạch sắc cổ,",荒戍之城石色古，
Đông quách lão nhân trú thanh khâu.,東郭老人住青丘。
"Phi thư Bạch Đế doanh đấu túc,",飛書白帝營鬥粟，
Cầm sắt kỷ trượng sài môn u.,琴瑟幾杖柴門幽。
"Thanh thảo thê thê tận khô tử,",青草萋萋盡枯死，
Thiên mã kỳ túc tuỳ mao ngưu.,天馬跂足隨犛牛。
"Tự cổ thánh hiền đa bạc mệnh,",自古聖賢多薄命，
Gian hùng ác thiểu giai phong hầu.,奸雄惡少皆封侯。
"Cố quốc tam niên nhất tiêu tức,",故國三年一消息，
"Chung Nam, Vị thuỷ hàn du du.",終南渭水寒悠悠。
"Ngũ lăng hào quý phản điên đảo,",五陵豪貴反顛倒，
Hương lý tiểu nhi hồ bạch cừu.,鄉里小兒狐白裘。
"Sinh nam đoạ địa yếu lữ lực,",生男墮地要膂力，
Nhất sinh phú quý khuynh bang quốc.,一生富貴傾邦國。
"Mạc sầu phụ mẫu thiểu hoàng kim,",莫愁父母少黃金，
Thiên hạ phong trần nhi diệc đắc.,天下風塵兒亦得。
