vi,ch
"Ngã hành nhập Đông Xuyên,",我行入東川，
Thập bộ nhất hồi thủ.,十步一回首。
"Thành Đô loạn bãi, khí tiêu táp,",成都亂罷氣蕭颯，
Hoán Hoa thảo đường diệc hà hữu.,浣花草堂亦何有。
"Tử trung hào tuấn đại giả thuỳ,",梓中豪俊大者誰，
Bản châu tùng sự tri danh cửu.,本州從事知名久。
"Bả tí khai tôn ẩm ngã tửu,",把臂開尊飲我酒，
Tửu hàm kích kiếm giao long hú.,酒酣擊劍蛟龍吼。
"Ô mạo phất trần thanh loa túc,",烏帽拂塵青螺粟，
Tử y tương chá phi y tẩu.,紫衣將炙緋衣走。
"Đồng bàn thiêu lạp quang thổ nhật,",銅盤燒蠟光吐日，
Dạ như hà kỳ sơ xúc tất.,夜如何其初促膝。
"Hoàng hôn thuỷ khấu chủ nhân môn,",黃昏始扣主人門，
Thuỳ vị nga khoảnh giao tại tất.,誰謂俄頃膠在漆。
"Vạn sự tận phó hình hài ngoại,",萬事盡付形骸外，
Bách niên vị kiến hoan ngu tất.,百年未見歡娛畢。
"Thần khuynh ý khoát chân giai sĩ,",神傾意豁真佳士，
Cửu khách đa ưu kim dũ tật.,久客多憂今愈疾。
"Cao thị càn khôn hựu khả sầu,",高視乾坤又可愁，
Nhất khu giao thái đồng du du.,一軀交態同悠悠。
"Thuỳ lão ngộ quân vị hận vãn,",垂老遇君未恨晚，
Tự quân tu hướng cổ nhân cầu.,似君須向古人求。
