vi,ch
"Ô Tôn yêu gian bội lưỡng đao,",烏孫腰間佩兩刀，
Nhận khả xuy mao cẩm vi đới.,刃可吹毛錦為帶。
"Ác trung chẩm túc khung lư thất,",握中枕宿穹廬室，
Mã thượng cát phi ế ông tái.,馬上割飛翳螉塞。
"Chấp chi võng lượng thuỳ năng tiền,",執之魍魎誰能前，
Khí lẫm thanh phong sa mạc biên.,氣凜清風沙漠邊。
"Ma dụng âm sơn nhất phiến ngọc,",磨用陰山一片玉，
Tẩy tương Hồ địa Độc Lưu tuyền.,洗將胡地獨流泉。
"Chủ nhân bình phong tả kỳ trạng,",主人屏風寫奇狀，
Thiết sao kim hoàn nghiễm tương hướng.,鐵鞘金鐶儼相向。
"Hồi đầu trừng mục thì nhất khan,",回頭瞪目時一看，
Sử dư tâm tại giang hồ thượng.,使予心在江湖上。
