vi,ch
"Thương giang ngư tử thanh thần tập,",蒼江魚子清晨集，
Thiết võng đề cương vạn ngư cấp.,設網提綱萬魚急。
"Năng giả thao chu tật nhược phong,",能者操舟疾若風，
Sanh đột ba đào đĩnh xoa nhập.,撐突波濤挺叉入。
"Tiểu ngư thoát lậu bất khả ký,",小魚脫漏不可記，
Bán tử bán sinh do tập tập.,半死半生猶戢戢。
"Đại ngư thương tổn giai thuỳ đầu,",大魚傷損皆垂頭，
Quật cường nê sa hữu thì lập.,屈強泥沙有時立。
"Đông tân quan ngư dĩ tái lai,",東津觀魚已再來，
Chủ nhân bãi khoái hoàn khuynh bôi.,主人罷鱠還傾杯。
"Nhật mộ giao long cải quật huyệt,",日暮蛟龍改窟穴，
Sơn căn chiên vị tuỳ vân lôi.,山根鱣鮪隨雲雷。
"Can qua binh cách đấu vị chỉ,",干戈兵革鬥未止，
Phụng hoàng kỳ lân an tại tai.,鳳凰麒麟安在哉。
"Ngô đồ hồ vi túng thử lạc,",吾徒胡為縱此樂，
Bạo điễn thiên vật thánh sở ai.,暴殄天物聖所哀。
