vi,ch
"Khuyến lang mạc thực Giám Hồ ngư,",勸郎莫食鑒湖魚，
Khuyến lang mạc khí biệt thời y.,勸郎莫棄別時衣。
"Hồ trung lý ngư hảo ký tín,",湖中鯉魚好寄信，
Biệt thời y hữu vạn điều ti.,別時衣有萬條絲。
"Luyến lang tư lang phi nhất triêu,",戀郎思郎非一朝，
Hảo tự Tinh Châu hoa tiễn đao.,好似並州花剪刀。
"Nhất cổ tại nam nhất cổ bắc,",一股在南一股北，
Kỷ thời tài đắc hợp hoan bào.,幾時裁得合歡袍。
"Việt Vương đài hạ thị nông gia,",越王臺下是儂家，
Nhất xích long toa học chức sa.,一尺龍梭學織紗。
"Nguyện lang mạc tài lê tử thụ,",愿郎莫栽梨子樹，
Già khước phòng tiền dạ hợp hoa.,遮卻房前夜合花。
"Khê đầu tống lang thượng lan chu,",溪頭送郎上蘭舟，
Độc túc xuân phong Yến Tử lâu.,獨宿春風燕子樓。
"Khê thuỷ hữu thời can đáo để,",溪水有時乾到底，
Bất như nông lệ tứ thời lưu.,不如儂淚四時流。
"A nông tu sát hoàng mạo lang,",阿儂羞殺黄帽郎，
Quế chu lan tiếp tảo trung tàng.,桂舟蘭楫藻中藏。
"Lô trúc sinh hoa thu mãn địa,",蘆竹生花秋滿地，
Trạo ca tài động tiện tầm lang.,棹歌才動便尋榔。
"Phấn ngân tuỳ lệ thấp xuân la,",粉痕隨淚溼春羅，
Lang tự ba tiêu nông tự hà.,郎似芭蕉儂似荷。
"Hà diệp đoàn viên ánh liên nhị,",荷葉團圓映蓮蕊，
Bất bỉ ba tiêu văn lộ đa.,不比芭蕉紋路多。
"Vị lang hữu ý biện la thường,",為郎有意辦羅裳，
Tú thành hoa điểu hảo văn chương.,綉成花鳥好文章。
"Hoàng hôn hàm sầu bất cảm tiễn,",黄昏含愁不敢剪，
Chỉ khủng phân khai song phụng hoàng.,只恐分開雙鳳凰。
"Xuân vọng san đầu tùng bách chu,",春望山頭松百株，
Nhược Da khê lý hảo hoàng ngư.,若耶溪里好黄魚。
"Hoàng ngư thượng đắc thanh tùng thụ,",黄魚上得青松樹，
A nông thuỷ thị khí lang thì.,阿儂始是棄郎時。
