vi,ch
"Yên Kinh nữ nhi thập lục thất,",燕京女儿十六七，
Nhan như hoa hồng nhãn như tất.,顏如花紅眼如漆。
"Lan hương mãn lộ mã trần phi,",蘭香滿路馬塵飛，
Thuý tụ lung tiên kiều dục trích.,翠袖籠鞭嬌欲滴。
"Xuân phong đạm đãng dao xuân tâm,",春風淡蕩搖春心，
Cẩm tranh ngân chúc cao đường thâm.,錦箏銀燭高堂深。
"Tú khâm bất noãn cẩm uyên mộng,",繡衾不暖錦鴛夢，
Tử liêm thuỳ vụ thiên trầm trầm.,紫帘垂霧天沉沉。
"Phương niên thuỳ tích khứ như thuỷ,",芳年誰惜去如水，
Xuân khốn trước nhân quyện sơ tẩy.,春困著人倦梳洗。
"Dạ lai tiểu vũ nhuận thiên nhai,",夜來小雨潤天街，
Mãn viện dương hoa phi bất khởi.,滿院楊花飛不起。
