vi,ch
"Thiên trường địa cửu vô chung tất,",天長地久無終畢，
Tạc dạ kim triều hựu minh nhật.,昨夜今朝又明日。
"Mấn phát thương lãng nha xỉ sơ,",鬢髮蒼浪牙齒疏，
Bất giác thân niên tứ thập thất.,不覺身年四十七。
"Tiền khứ ngũ thập hữu kỉ niên,",前去五十有幾年，
Bả kính chiếu diện tâm mang nhiên.,把鏡照面心茫然。
"Kí vô trường thằng hệ bạch nhật,",既無長繩系白日，
Hựu vô đại dược trú chu nhan.,又無大藥駐朱顏。
"Chu nhan nhật tiệm bất như cố,",朱顏日漸不如故，
Thanh sử công danh tại hà xứ?,青史功名在何處。
"Dục lưu niên thiếu đãi phú quý,",欲留年少待富貴，
Phú quý bất lai niên thiếu khứ.,富貴不來年少去。
"Khứ phục khứ hề như trường hà,",去復去兮如長河，
Đông lưu phó hải vô hồi ba.,東流赴海無回波。
"Hiền ngu quý tiện đồng quy tận,",賢愚貴賤同歸盡，
Bắc Mang trủng mộ cao tha nga!,北邙塚墓高嵯峨。
"Cổ lai như thử phi độc ngã,",古來如此非獨我，
Vị tử hữu tửu thả cao ca.,未死有酒且高歌。
"Nhan Hồi đoản mệnh Bá Di ngạ,",顏回短命伯夷餓，
Ngã kim sở đắc diệc dĩ đa.,我今所得亦已多。
"Công danh phú quý tu đãi mệnh,",功名富貴須待命，
Mệnh nhược bất lai tri nại hà?,命若不來知奈何。
