vi,ch
"Ô hô Công Cẩn,",嗚呼公瑾，
"Bất hạnh yêu vong,",不幸夭亡，
"Tu đoản cố thiên,",修短故天，
Nhân khởi bất thương?,人豈不傷？
"Ngã tâm thực thống,",我心實痛，
Lỗi tửu nhất thương.,酹酒一觴。
"Quân kỳ hữu linh,",君其有靈，
Hưởng ngã chưng thường!,享我烝嘗！
"Điếu quân ấu học,",弔君幼學，
Dĩ giao Bá Phù;,以交伯符；
"Trượng nghĩa sơ tài,",仗義疏財，
Nhượng xá dĩ cư.,讓舍以居。
"Điếu quân nhược quan,",弔君弱冠，
Vạn lý bằng đoàn;,萬里鵬摶；
"Định kiến bá nghiệp,",定建霸業，
Cát cứ Giang Nam.,割據江南。
"Điếu quân tráng lực,",弔君壯力，
Viễn trấn Ba Khâu;,遠鎮巴丘；
"Cảnh Thăng hoài lự,",景升懷慮，
Thảo nghịch vô ưu.,討逆無憂。
"Điếu quân phong độ,",弔君風度，
Giai phối Tiểu Kiều;,佳配小喬；
"Hán thần chi tế,",漢臣之婿，
Bất quý đương triều.,不愧當朝。
"Điếu quân khí khái,",弔君氣概，
Gián trở nạp chất;,諫阻納質；
"Thuỷ bất thuỳ sí,",始不垂翅，
Chung năng phấn dực.,終能奮翼。
"Điếu quân bà dương,",弔君鄱陽，
Tưởng Cán lai thuyết;,蔣幹來說；
"Huy sái tự như,",揮灑自如，
Nhã lượng cao chí.,雅量高志。
"Điếu quân hoằng tài,",弔君弘才，
Văn võ trù lược;,文武籌略；
"Hoả công phá địch,",火攻破敵，
Vãn cường vi nhược.,挽強為弱。
"Tưởng quân đương niên,",想君當年，
Hùng tư anh phát.,雄姿英發。
"Khốc quân tảo thệ,",哭君早逝，
Phủ địa lưu huyết.,俯地流血。
"Trung nghĩa chi tâm,",忠義之心，
Anh linh chi khí.,英靈之氣。
"Mệnh chung tam kỷ,",命終三紀，
Danh thuỳ bách thế.,名垂百世。
"Ai quân tình thiết,",哀君情切，
Sầu trường thiên kết.,愁腸千結。
"Duy ngã can đảm,",惟我肝膽，
Bi vô đoạn tuyệt.,悲無斷絕。
"Hạo thiên hôn ám,",昊天昏暗，
Tam quân sảng nhiên.,三軍愴然。
"Chủ vi ai khấp,",主為哀泣，
Hữu vi lệ liên.,友為淚漣。
"Lượng dã bất tài,",亮也不才，
Cái kế cầu mưu.,丐計求謀。
"Trợ Ngô cự Tào,",助吳拒曹，
Phụ Hán an Lưu.,輔漢安劉。
"Ỷ giốc chi viện,",掎角之援，
Thủ vĩ tương trù.,首尾相儔。
"Nhược tồn nhược vong,",若存若亡，
Hà lự hà ưu?,何慮何憂？
Ô hô công cẩn!,嗚呼公瑾！
Sinh tử vĩnh biệt!,生死永別！
"Phác thủ kỳ trinh,",朴守其貞，
Minh minh diệt diệt.,冥冥滅滅。
"Hồn như hữu linh,",魂如有靈，
Dĩ giám ngã tâm.,以鑒我心。
"Tòng thử thiên hạ,",從此天下，
Cánh vô tri âm!,更無知音！
Ô hô thống tai!,嗚呼痛哉！
Phục duy thượng hưởng!,伏惟尚饗！
