vi,ch
"Lương phong xuy động Hoàng Cô chử,",涼風吹動黃姑渚，
Chính trị Khiên Ngưu phùng Đế Nữ.,正值牽牛逢帝女。
"Nhất niên giai hội trở tinh hà,",一年佳會阻星河，
Sổ khắc giao hoan bãi cơ trữ.,數刻交歡罷機杼。
"Chủ nhân lưu khách đương kim tiêu,",主人留客當今宵，
Minh tranh thiếu phụ hồng la tiêu.,鳴筝少婦紅羅綃。
"Kiều thanh uyển chuyển loan hoàng khúc,",嬌聲宛轉鸞凰曲，
Mị nhãn đê hồi ô thước kiều.,媚眼低回烏鵲橋。
"Dẫn vũ lưu thương ca dũ hoãn,",引羽流商歌愈緩，
Ngọc thằng tiệm lạc minh tinh lạn.,玉繩漸落明星爛。
"Lý truỵ trâm di lạc vị hưu,",履墜簪遺樂未休，
Chung trầm lậu tận sầu tương đán.,鐘沉漏盡愁將旦。
"Lâm biệt ân cần tặng thất tương,",臨别殷勤贈七襄，
Thu tiêu tuy đoản thử tình trường.,秋宵雖短此情長。
"Chúc Long dĩ giá Phù Tang hiểu,",燭龍已駕扶桑曉，
Thiên thượng nhân gian lưỡng diểu mang.,天上人間兩渺茫。
