vi,ch
"Đạo nhân hung trung thuỷ kính thanh,",道人胸中水鏡清，
Vạn tượng khởi diệt vô đào hình.,萬象起滅無逃形。
"Độc y cổ tự chủng thu cúc,",獨依古寺種秋菊，
Yếu bạn tao nhân xan lạc anh.,要伴騷人餐落英。
"Nhân gian để xứ hữu nam bắc,",人間底處有南北，
Phân phân hồng nhạn hà tằng minh.,紛紛鴻雁何曾冥。
"Bế môn toạ huyệt nhất thiền tháp,",閉門坐穴一禪榻，
Đầu thượng tuế nguyệt không tranh vanh.,頭上歲月空崢嶸。
"Kim niên ngẫu xuất vị cầu pháp,",今年偶出為求法，
Dục dữ tuệ kiếm gia lung hình.,欲與慧劍加礱硎。
"Vân nạp tân ma sơn thuỷ xuất,",雲衲新磨山水出，
Sương tỳ bất tiễn nhi đồng kinh.,霜髭不翦兒童驚。
"Công hầu dục thức bất khả đắc,",公侯欲識不可得，
Cố tri ỷ thị vô khuynh thành.,故知倚市無傾城。
"Thu phong xuy mộng quá Hoài thuỷ,",秋風吹夢過淮水，
Tưởng kiến quất trục thuỳ không đình.,想見橘柚垂空庭。
"Cố nhân các tại thiên nhất giác,",故人各在天一角，
Tương vọng lạc lạc như thần tinh.,相望落落如晨星。
"Bành Thành lão thủ hà túc cố,",彭城老守何足顧，
Tảo lâm tang dã tương yêu nghinh.,棗林桑野相邀迎。
"Thiên sơn bất đạn hoang điếm viễn,",千山不憚荒店遠，
Lưỡng cước dục sấn phi nhu khinh.,兩腳欲趁飛猱輕。
"Đa sinh ỷ ngữ ma bất tận,",多生綺語磨不盡，
Thượng hữu uyển chuyển thi nhân tình.,尚有宛轉詩人情。
"Viên ngâm hạc lệ bản vô ý,",猿吟鶴唳本無意，
Bất tri hạ hữu hành nhân hành.,不知下有行人行。
"Không giai dạ vũ tự thanh tuyệt,",空階夜雨自清絕，
Thuỳ sử yểm ức đề cô quỳnh.,誰使掩抑啼孤煢。
"Ngã dục tiên sơn xuyết dao thảo,",我欲仙山掇瑤草，
Khuynh khuông toạ thán hà thì doanh.,傾筐坐嘆何時盈。
"Bạ thư tiên phác trú điền uỷ,",簿書鞭撲晝填委，
Chử minh thiêu lật nghi tiêu chinh.,煮茗燒栗宜宵征。
"Khất thủ ma ni chiếu trọc thuỷ,",乞取摩尼照濁水，
Cộng khán lạc nguyệt kim bồn khuynh.,共看落月金盆傾。
