vi,ch
"Hàm Đan thành nam du hiệp tử,",邯鄲城南遊俠子，
Tự căng sinh trưởng Hàm Đan lý.,自矜生長邯鄲裏。
"Thiên trường túng bác gia nhưng phú,",千場縱博家仍富，
Kỷ độ báo cừu thân bất tử.,幾度報仇身不死。
"Trạch trung ca tiếu nhật phân phân,",宅中歌笑日紛紛，
Môn ngoại xa mã thường như vân.,門外車馬常如雲。
"Vị tri can đảm hướng thuỳ thị,",未知肝膽向誰是，
Kim nhân khước ức Bình Nguyên Quân.,今人卻憶平原君。
"Quân bất kiến tức kim giao thái bạc,",君不見即今交態薄，
Hoàng kim dụng tận hoàn sơ tác.,黃金用盡還疏索。
"Dĩ tư cảm thán từ cựu du,",以茲感嘆辭舊遊，
Canh ư thời sự vô sở cầu.,更於時事無所求。
"Thả dữ thiếu niên ẩm mỹ tửu,",且與少年飲美酒，
Vãng lai xạ lạp Tây sơn đầu.,往來射獵西山頭。
