vi,ch
"Cư bất tri sở vi hề, hành bất tri sở chi,",居不知所為兮行不知所之，
"Vi sở bất đương vi hề, ngã tâm nghi,",為所不當為兮我心疑，
"Chi sở bất đương chi hề, ngô cước trì,",之所不當之兮吾腳遲，
"Ngã tâm nghi hề, ngô bất vi,",我心疑兮吾不為，
"Ngô cước trì hề, ngã bất chi.",吾腳遲兮我不之。
Phù hà vi hề đương vi?,夫何為兮當為？
"Xuyết ngô văn hề, ngâm ngô thi,",綴吾文兮吟吾詩，
"Phụng vương ngôn hề, diễn luân ti,",奉王言兮演綸絲，
Phù hà chi hề đương chi?,夫何之兮當之？
"Tảo ngô triều hề, vãn ngô quy.",早吾朝兮晚吾歸。
"Cần chức vụ hề, giới bôn trì.",勤職務兮戒奔馳。
Quân bất kiến:,君不見：
"Thời vũ lai hề, điền trù ốc,",時雨來兮田疇沃，
"Nhất lê xuân hề, thiên khoảnh túc.",一犁春兮千頃足。
"Khải phong xuy hề, giang hải bình,",凱風吹兮江海平，
"Phiến phàm trương hề, thiên chu doanh.",片帆張兮扁舟盈。
"Tài mộc cụ hề, quân tương tác,",材木具兮君將作，
"Phủ cân huy hề, thành lương giác.",斧斤揮兮成樑桷。
"Vi đương vi hề, nông công thương,",為當為兮農工商，
"Khởi ngô nho hề, bất tư lượng.",豈吾儒兮不思量。
Hựu bất kiến:,又不見：
"Lôi vũ tác hề, long nãi dược,",雷雨作兮龍乃躍，
"Chấn sơn linh hề, kinh hải nhược.",震山靈兮驚海若。
"Triêu dương xuất hề, phụng nãi minh,",朝陽出兮鳳乃鳴，
"Đạo cửu thiều hề, vũ lục anh.",蹈九韶兮舞六英。
"Chi thảo sinh hề, lân nãi chí,",芝草生兮麟乃至，
"Hổ vô uy hề, lang thất thế.",虎無威兮狼失勢。
"Chi đương chi hề, long phụng lân,",之當之兮龍鳳麟，
"Khởi ngô nhân hề, bất tịch trân.",豈吾人兮不席珍。
"Uý thế đồ hề, tối khuynh hiểm,",畏世途兮最傾險，
"Ngôn đương thúc hề, hạnh đương kiểm,",言當束兮行當檢，
"Cư bất tri kỳ sở vi hề, thuỳ tiêu minh chi túc yếm.",居不知其所為兮誰蟭螟之足厭。
"Thương nhân tình hề, thái thâm u,",傷人情兮太深幽，
"Bác nghi ước hề, phóng nghi thu,",博宜約兮放宜收，
"Hành bất tri sở chi hề, hà tiêu liêu chi đa cầu.",行不知所之兮何鷦鷯之多求。
"Ngô tĩnh ngô tâm,",吾靜吾心，
Cư ngô ẩn ước.,居吾隱約。
"Cái sở vi chi thuận mệnh hề, hành thiên hạ nhi bất dĩ vi xước.",蓋所為之順命兮衡天下而不以為綽。
"Ngô bảo ngô thân,",吾保吾身，
Hành ngô khang trang.,行吾康莊。
"Cái sở chi chi thích đạo hề, lý hổ vĩ nhi sở năng vi thương.",蓋所之之適道兮履虎尾而所能為傷。
"Ngô quan chi Càn,",吾觀之乾，
Chung thuỷ đại minh.,終始大明。
"Hà mạc bất vi,",何莫不為，
Vũ thí vân hành.,雨施雲行。
"Càn vi phụ hề, ngô tác hỗ,",乾為父兮吾作怙，
"Vân tòng long hề, phong tòng hổ.",雲從龍兮風從虎。
"Ngô quan chư Khôn,",吾觀諸坤，
Hành địa vô cương.,行地無彊。
"Hà mạc bất chi,",何莫不之，
Tây nam âm phương.,西南陰方。
"Khôn xưng mẫu hề, ngô tư thị,",坤稱母兮吾斯恃，
"Giới lý sương hề, phòng băng chí.",戒履霜兮防冰至。
"Ngô quan chư Ly,",吾觀諸離，
Trung hư nãi liệt.,中虛乃烈。
"Thốn yên phần lâm,",寸煙焚林，
Hoả tàn hôi diệt.,火殘灰滅。
"Hà như thái dương chi kiện hành hề, tây di tiễn nhi đông di tân,",何如太陽之健行兮西寅餞而東寅賓，
