vi,ch
"Phương ly liễu ổ, xạ xuất hoa phòng.",方離柳塢，乍出花房。
"Đán hành xứ, điểu kinh đình thụ;",但行處，鳥驚庭樹；
"Tương đáo thì, ảnh độ hồi lang.",將到時，影度回廊。
"Tiên duệ xạ phiêu hề, văn xạ lan chi phức uất;",仙袂乍飄兮，聞麝蘭之馥郁；
"Hà y dục động hề, thính hoàn bội chi khanh thương.",荷衣欲動兮，聽環珮之鏗鏘。
"Yếp tiếu xuân đào hề, vân kết đôi thuý;",靨笑春桃兮，雲髻堆翠；
"Thần trán anh khoả hề, lưu xỉ hàm hương.",唇綻櫻顆兮，榴齒含香。
"Miện tiêm yêu chi sở sở hề, phong hồi tuyết vũ;",盼纖腰之楚楚兮，風回雪舞；
"Diệu châu thuý chi đích đích hề, áp lục nga hoàng.",耀珠翠之的的兮，鴨綠鵝黃。
"Xuất một hoa gian hề, nghi sân nghi hỉ;",出沒花間兮，宜嗔宜喜；
"Bồi hồi trì thượng hề, nhược phi nhược dương.",徘徊池上兮，若飛若揚。
"Nga my dục tần hề, tương ngôn nhi vị ngữ;",蛾眉欲顰兮，將言而未語；
"Liên bộ xạ di hề, dục chỉ nhi nhưng hành.",蓮步乍移兮，欲止而仍行。
"Tiện mỹ nhân chi lương chất hề, băng thanh ngọc nhuận;",羡美人之良質兮，冰清玉潤；
"Mộ mỹ nhân chi hoa phục hề, siểm thước văn chương.",慕美人之華服兮，閃爍文章。
"Ái mỹ nhân chi dung mạo hề, hương bồi ngọc triện;",愛美人之容貌兮，香培玉篆；
"Tỷ mỹ nhân chi thái độ hề, phượng chứ long tường.",比美人之態度兮，鳳翥龍翔。
Kỳ tố nhược hà: xuân mai trán tuyết;,其素若何：春梅綻雪；
Kỳ khiết nhược hà: thu huệ phi sương.,其潔若何：秋蕙披霜。
Kỳ tĩnh nhược hà: tùng sinh không cốc;,其靜若何：松生空谷；
Kỳ diễm nhược hà: hà ánh trừng đường.,其艷若何：霞映澄塘。
Kỳ văn nhược hà: long du khúc chiểu;,其文若何：龍游曲沼；
Kỳ thần nhược hà: nguyệt xạ hàn giang.,其神若何：月射寒江。
"Viễn tàm Tây Tử, cận quý Vương Tường.",遠慚西子，近愧王嬙。
Sinh vu thục địa? Giáng tự hà phương ?,生于孰地？降自何方？
"Nhược phi yến bãi quy lai, Dao Trì bất nhị;",若非宴罷歸來，瑤池不二；
"Định ưng xuy tiêu dẫn khứ, tử phủ vô song giả dã.",定應吹蕭引去，紫府無雙者也。
