vi,ch
"Nhạn trác trác, phi bác bác,",雁啄啄，飛搏搏，
Giang biên ngu nhân phược tăng chước.,江邊虞人縛矰繳。
"Nhân cơ xứ xứ quy nhĩ nhục,",人飢處處規爾肉，
Khởi tri nhạn cơ nhục cánh bạc.,豈知雁飢肉更薄。
"Thành trung mại nhạn bất trị tiền,",城中賣雁不值錢，
Thị nội địch mễ đẩu ngũ thiên.,巿內糴米斗五千。
"Thê nhi chử mi bất cảm bão,",妻儿煮糜不敢飽，
Triêu triêu xạ nhạn xuất giang biên.,朝朝射雁出江邊。
"Bất văn Quan Trung dịch tử thực,",不聞關中易子食，
Không lý vô nhân cốt sinh cức.,空里無人骨生棘。
"Huyện quan chẩn tế văn tự lai,",縣官賑濟文字來，
Nhữ thượng khả sinh đương tự lực.,汝尚可生當自力。
