vi,ch
"Thanh sơn điệp điệp vi Bành Thành,",青山疊疊圍彭城，
Xâm vân sáp Hán thanh ngọc bình.,侵雲插漢青玉屏。
"Hoàng Hà thao thao tẩm khôn trục,",黃河滔滔浸坤軸，
Khiêu ba tiễn mạt đông nam khuynh.,跳波濺沫東南傾。
"Hoàng Lâu khởi xuất bán thiên lý,",黃樓起出半天裡，
Bằng cao nhất vọng tam thiên lý.,憑高一望三千里。
"Hạng Vương đài tiền lạc nhật hồng,",項王臺前落日紅，
Quán Quân mộ thượng bi phong khởi.,冠軍墓上悲風起。
"Thiên hoang địa lão cổ chiến trường,",天荒地老古戰場，
Thiên tải anh hùng kim dĩ hỹ!,千載英雄今已矣！
"Ngã gia viễn tại Giao Nam đầu,",我家遠在交南頭，
Thủ trì ngọc tiết đăng Hoàng Lâu.,手持玉節登黃樓。
"Ma sa thạch khắc Pha công tự,",摩挲石刻坡公字，
Như kim bất phụ bình sinh du.,如今不負平生遊。
