vi,ch
"Yên chử vân phàm xứ xứ thông,",煙渚雲帆處處通，
Phiêu nhiên chu tự nhập hư không.,飄然舟似入虛空。
"Ngọc bôi thiển chước tuần sơ tạp,",玉杯淺酌巡初匝，
Kim quản từ xuy khúc vị chung.,金管徐吹曲未終。
"Hoàng giáp hiệt lâm hàn hữu diệp,",黃夾纈林寒有葉，
Bích lưu ly thuỷ tịnh vô phong.,碧琉璃水淨無風。
"Tỵ kỳ phi lộ phiên phiên bạch,",避旗飛鷺翩翻白，
Kinh cổ khiêu ngư bát lạt hồng.,驚鼓跳魚撥剌紅。
"Giản tuyết áp đa tùng yển kiển,",澗雪壓多松偃蹇，
Nham tuyền trích cửu thạch linh lung.,岩泉滴久石玲瓏。
"Thư vi cố sự lưu hồ thượng,",書為故事留湖上，
Ngâm tác tân thi ký Chiết đông.,吟作新詩寄浙東。
"Quân phủ uy dung tòng đạo thịnh,",軍府威容從道盛，
Giang sơn khí sắc định tri đồng.,江山氣色定知同。
"Báo quân nhất sự quân ưng tiện,",報君一事君應羨，
Ngũ túc trừng ba hạo nguyệt trung.,五宿澄波皓月中。
