vi,ch
"Bệnh cốt cô phi tục nhãn xú,",病鶻孤飛俗眼醜，
Mỗi dạ giang biên túc suy liễu.,每夜江邊宿衰柳。
"Thanh thu lạc nhật dĩ trắc thân,",清秋落日已側身，
Quá nhạn qui nha thố hồi thủ.,過雁歸鴉錯回首。
"Khẩn não hùng tư mê sở hướng,",緊腦雄姿迷所向，
Sơ cách hi mao bất khả trạng.,疏翮稀毛不可狀。
"Cường thần mê phục tạo điêu tiền,",強神迷復皂雕前，
Tuấn tài tảo tại thương ưng thượng.,俊才早在蒼鷹上。
"Phong đào táp táp hàn sơn âm,",風濤颯颯寒山陰，
Hùng bi dục trập long xà thâm.,熊羆欲蟄龍蛇深。
"Niệm nhĩ thử thì hữu nhất trịch,",念爾此時有一擲，
Thất thanh tiễn huyết phi kỳ tâm.,失聲濺血非其心。
