vi,ch
"Mạch đầu liễu sắc ám tam tam,",陌頭柳色暗毿毿，
Dục tả ly tình nhẫn lệ giam.,欲寫離情忍淚緘。
"Xuân nhạn khả liên tề hướng bắc,",春雁可憐齊向北，
Na kham du tử tại Giang Nam.,那堪游子在江南。
"Vũ hiết dao thiên thuỷ khí tinh,",雨歇遥天水氣腥，
Thụ liên tăng ốc nhạn liên đinh.,樹連僧屋雁連汀。
"Tùng phong tắc tắc hành nhân thiểu,",松風謖謖行人少，
Vân bạch sơn thanh lãnh hoạ bình.,雲白山青冷畫屏。
"Xuân phong thiên mạch thảo sơ bình,",春風阡陌草初平，
Viễn tụ yên phù tế vũ tình.,遠岫烟浮細雨晴。
"Bạch ốc môn tiền ô cữu thụ,",白屋門前烏桕樹，
Tịch dương cao hạ giá cô thanh.,夕陽高下鷓鴣聲。
"Mộng hồi tây vọng bích sơn vi,",夢回西望碧山微，
Nhất thuỷ tà dương điểu bất phi.,一水斜陽鳥不飛。
"Dục thái thanh hoàng liên tử diệp,",欲採青黄蓮子葉，
Ký quân tiên chế ngoạ vân y.,寄君先製臥雲衣。
"Lục bãi dương chi sinh bạch yên,",綠擺楊枝生白烟，
Mao đường thâm yểm bán khê biên.,茅堂深掩半溪邊。
"Nhị niên đạp tuyết Yên đài bạn,",二年踏雪燕臺畔，
Cô phụ mai hoa nguyệt ảnh miên.,辜負梅花月影眠。
"Dương bạch hoa phi Sở thuỷ đông,",楊白花飛楚水東，
Trúc lâm tây chuyển trúc kiều thông.,竹林西轉竹橋通。
"Biên chu tái tửu xung yên khứ,",扁舟載酒沖烟去，
Nhất lộ Tiêu Tương bát mặc trung.,一路瀟湘潑墨中。
"Cốc khẩu nhàn nhàn vân khí thu,",谷口閑閑雲氣收，
Tùng sam cao hạ tự thành khâu.,松杉高下自成丘。
"Thảo đường thả hỉ Chung Nam ngoại,",草堂且喜終南外，
Thúc bạch vô lao nhậm bạch đầu.,束帛無勞任白頭。
"Tiêu sơ trúc mộc ỷ giang tân,",蕭疏竹木倚江濱，
Thạch cước phi toa phất lãng tân.,石腳披莎拂浪新。
"Nhất đới viễn sơn hàm lạc nhật,",一帶遠山銜落日，
Thảo đình thu ảnh đạm vô nhân.,草亭秋影澹無人。
