vi,ch
"Mạch thượng trường, tàm xuất khuông,",麥上場，蚕出筐，
Thử thời chỉ hữu điền gia mang.,此時只有田家忙。
"Bán nguyệt thiên tình nhất dạ vũ,",半月天晴一夜雨，
Tiền nhật mạch địa giai thanh ương.,前日麥地皆青秧。
"Âm tình tuỳ ý cổ nan đắc,",陰晴隨意古難得，
Phụ hậu phu tiên các nỗ lực.,婦后夫先各努力。
"Thúc lương sậu noãn kiển dị nga,",倏涼驟暖繭易蛾，
Đại phụ lạc ty trung phụ chức.,大婦絡絲中婦織。
"Trung phụ xuyết nhàn sự duyên hoa,",中婦輟閑事鉛華，
Bất tỷ đại phụ năng ưu gia.,不比大婦能憂家。
"Phạn thục hà tằng sấn thì ngật,",飯熟何曾趁時吃，
Tân khổ cận đắc tàm sự tất.,辛苦僅得蚕事畢。
"Tiểu phụ sơ giá đương thiểu khoan,",小婦初嫁當少寬，
Linh bạn a cô ngoan qua nhật.,令伴阿姑頑過日。
"Minh niên nguyện đắc như kim niên,",明年原得如今年，
Thặng trữ nhị mạch nhiêu ty miên.,剩貯二麥饒絲綿。
"Tiểu phụ mạc từ đảm thượng kiên,",小婦莫辭擔上肩，
Khước phóng đại phụ đương cô tiền.,卻放大婦當姑前。
