vi,cn
"Thuỷ lục thảo mộc chi hoa, khả ái giả thậm phồn. Tấn Đào Uyên Minh độc ái cúc; tự Lý Đường lai, thế nhân thịnh ái mẫu đơn; dư độc ái liên chi xuất ứ nê nhi bất nhiễm, trạc thanh liên nhi bất yêu, trung thông ngoại trực, bất mạn bất chi, hương viễn ích thanh, đình đình tịnh thực, khả viễn quan nhi bất khả tiết ngoạn yên. Dư vị cúc, hoa chi ẩn dật giả dã; mẫu đơn, hoa chi phú quý giả dã; liên, hoa chi quân tử giả dã. Y! Cúc chi ái, Đào hậu tiển hữu văn; liên chi ái, đồng dư giả hà nhân; mẫu đơn chi ái, nghi hồ chúng hĩ.",水陸草木之花，可愛者甚蕃。晉陶淵明獨愛菊；自李唐來，世人盛愛牡丹；予獨愛蓮之出淤泥而不染 ，濯清漣而不妖，中通外直，不蔓不枝，香遠益清，亭亭靜植，可遠觀而不可褻玩焉。予謂菊，花之隱逸者也；牡 丹，花之富貴 者也；蓮，花之君子者也。噫！菊之愛，陶後鮮有聞；蓮之愛，同予者何人；牡丹之愛，宜乎眾矣。
"Đăng pha đà chi trường bản hề,",登陂阤之長阪兮，
Bộn nhập tằng cung chi tha nga.,坌入曾宮之嵯峨。
"Lâm khúc giang chi kỳ châu hề,",臨曲江之隑州兮，
Vọng nam sơn chi sâm si.,望南山之參差。
"Nham nham thâm sơn chi hồng hồng hề,",巖巖深山之谾谾兮，
Thông cốc hoát hồ hàm ha.,通谷𧯆乎𧮰谺。
"Cốt hức hấp tập dĩ vĩnh thệ hề,",汩淢噏習以永逝兮，
Chú bình cao chi quảng diễn.,注平臯之廣衍。
"Quan chúng thụ chi ống ái hề,",觀眾樹之蓊薆兮，
Lãm trúc lâm chi trăn trăn.,覽竹林之榛榛。
"Đông trì thổ sơn hề,",東馳土山兮，
Bắc yết thạch lại.,北揭石瀨。
"Nhị tiết dung dữ hề,",弭節容與兮，
Lịch điếu Nhị Thế.,歷弔二世。
"Trì thân bất cẩn hề,",持身不謹兮，
Vong quốc thất thế.,亡國失埶。
"Tín sàm bất ngộ hề,",信讒不寤兮，
Tông miếu diệt tuyệt.,宗廟滅絕。
Ô hô ai tai!,嗚呼哀哉！
"Tháo hạnh chi bất đắc hề,",操行之不得兮，
"Mộ vu uế nhi bất tu hề,",墓蕪穢而不修兮，
Hồn vong quy nhi bất thực.,魂亡歸而不食。
"Quýnh mạc tuyệt nhi bất tề hề,",敻邈絕而不齊兮，
Di cửu viễn nhi dũ mại.,彌久遠而愈佅。
"Tinh võng lãng nhi phi dương hề,",精罔閬而飛揚兮，
Thập cửu thiên nhi vĩnh thệ.,拾九天而永逝。
Ô hô ai tai!,嗚呼哀哉！
"Lục vương tất, tứ hải nhất,",六王畢、四海一、
"Thục sơn ngột, A Phòng xuất.",蜀山兀、阿房出。
"Phú áp tam bách dư lý, cách ly thiên nhật.",覆壓三百餘里、隔離天日。
"Ly sơn bắc cấu nhi tây chiết, trực tẩu Hàm Dương.",驪山北構而西折、直走咸陽。
"Nhị xuyên dung dung, lưu nhập cung tường.",二川溶溶、流入宮牆。
"Ngũ bộ nhất lâu, thập bộ nhất các,",五步一樓、十步一閣、
"Lang yêu mạn hồi, thiềm nha cao trác.",廊腰縵迴、簷牙高啄。
"Các bão địa thế, câu tâm đấu giác.",各抱地勢、鉤心鬥角。
"Bàn bàn yên, khuân khuân yên,",盤盤焉、囷囷焉、
"Phong phòng thuỷ oa, súc bất tri kỳ kỷ thiên vạn lạc.",蜂房水渦、矗不知其幾千萬落。
"Trường kiều ngoạ ba, vị vân hà long?",長橋臥波、未雲何龍？
