vi,ch
"Hướng hiểu du nhân tư miểu nhiên,",向曉遊人思渺然，
Phong phàm nhất phiến xuất tình yên.,風凡一片出晴煙。
"Tàn tinh ảnh tán đông tây thuỷ,",殘星影散東西水，
Sơ nhật quang phân thượng hạ thiên.,初日光分上下天。
"Điểu ngữ trúc thanh di cổ độ,",鳥語竹聲移古渡，
Hoa minh liễu ám quá tiền xuyên.,花明柳暗過前川。
"Kỳ kiêm thi tửu vi tam hữu,",棋兼詩酒爲三友，
Nhân dữ sư bằng cộng nhất thuyền.,人與師朋共一船。
"Vị lão dung âm kình lục cái,",未老榕陰擎綠蓋，
Sơ sinh hà diệp điệp thanh tiền.,初生荷葉疊青錢。
"Lô tư đắc ý thanh giang mộc,",鸕鷥得意清江沐，
Âu lộ vong cơ bạch nhật miên.,鷗鷺忘機白日眠。
"Tuế nguyệt vô tình thôi bút quản,",歲月無情催筆管，
Long xà tòng thủ trước thi tiên.,龍蛇從手著詩箋。
"Đương thời tự tiếu phi nhàn khách,",當時自笑非閒客，
Khước bị đồng hô tác địa tiên.,卻被童呼作地仙。
