vi,ch
"Sở cuồng tuý ca ca chính phát,",楚狂醉歌歌正發，
Cánh thướng Lương Đài vọng minh nguyệt.,更上梁臺望明月。
"Sóc phong lạp lạp xuy ngã y,",朔風獵獵吹我衣，
Tuyệt đại giai nhân hạo như tuyết.,絕代佳人皎如雪。
"Truỳ yết cổ, đàn không hầu,",搥羯鼓，彈箜篌，
"Phanh dương tể ngưu toạ tao khâu,",烹羊宰牛坐糟丘，
Nhất tiếu tái tiếu dương thanh âu.,一笑再笑揚清謳。
"Dao khan Biện thuỷ ba thanh tiểu,",遙看汴水波聲小，
Cẩm trạc vong hoàn sự đa thiểu?,錦櫂忘還事多少。
"Tạc nhật Kim Minh trì thượng lai,",昨日金明池上來，
Cấn Nhạc thê lương my lộc nhiễu.,艮岳凄涼麋鹿繞。
"Mạch thanh thanh, thử ly ly,",麥青青，黍離離，
Vạn niên chi thượng nha loạn đề.,萬年枝上鴉亂啼。
"Nhị long bắc thú bất phục phản,",二龍北狩不復返，
Lục long nam độ vô hoàn kỳ.,六龍南渡無還期。
"Kim đồng lệ bính lộ bàn thấp,",金銅淚迸露盤濕，
Hoạ lan quế trụ toan phong cấp.,畫闌桂柱酸風急。
"Cưu cư thước cấu thương chuẩn nhập,",鳩居鵲構蒼隼入，
Xà xuất yến sào bạch hồ lập.,蛇出燕巢白狐立。
"Đông nam địa hãm yêu khí hắc,",東南地陷妖氣黑，
Song phụng cao phi Hải Nam mạch.,雙鳳高飛海南陌。
"Ngô Sơn nhật lạc vô trầm trầm,",吳山日落無沈沈，
Mẫu tử đồng hành hướng thiên bắc.,母子同行向天北。
"Quan hà vạn lý vũ lộ thâm,",關河萬里雨露深，
Tiểu nho hà tất bi khổ tân.,小儒何必悲苦辛。
"Quy lai nhĩ nhiệt vong đầu bạch,",歸來耳熱忘頭白，
Mãi tiếu huy kim mạc tương thất.,買笑揮金莫相失。
"Hô hề nô, xuy tất lật.",呼奚奴，吹觱篥，
"Mỹ nhân tung phục hoành,",美人縱復橫，
Kim tịch phục hà tịch?,今夕復何夕。
"Sở cuồng tuý ca ca dục chuyết,",楚狂醉歌歌欲輟，
Lão viên vị ngã đề trúc liệt.,老猿為我啼竹裂。
