vi,ch
"Trường An thành đầu đầu bạch ô,",長安城頭頭白烏，
Dạ phi Diên Thu môn thượng hô.,夜飛延秋門上呼。
"Hựu hướng nhân gia trác đại ốc,",又向人家啄大屋，
Ốc để đạt quan tẩu tị Hồ.,屋底達官走避胡。
"Kim tiên đoạn chiết cửu mã tử,",金鞭斷折九馬死，
Cốt nhục bất đãi đồng trì khu.,骨肉不待同馳驅。
"Yêu hạ bảo quyết thanh san hô,",腰下寶玦青珊瑚，
Khả liên vương tôn khấp lộ ngung.,可憐王孫泣路隅。
"Vấn chi bất khẳng đạo tính danh,",問之不肯道姓名，
Đãn đạo khốn khổ khất vi nô.,但道困苦乞為奴。
"Dĩ kinh bách nhật thoán kinh cức,",已經百日竄荊棘，
Thân thượng vô hữu hoàn cơ phu.,身上無有完肌膚。
"Cao Đế tử tôn tẫn long chuyết,",高帝子孫盡隆準，
Long chủng tự dữ thường nhân thù.,龍種自與常人殊。
"Sài lang tại ấp long tại dã,",豺狼在邑龍在野，
Vương tôn thiện bảo thiên kim khu.,王孫善保千金軀。
"Bất cảm trường ngữ lâm giao cù,",不敢長語臨交衢，
Thả vị vương tôn lập tư tu.,且為王孫立斯須。
"Tạc dạ đông phong xuy huyết tinh,",昨夜東風吹血腥，
Đông lai thác đà mãn cựu đô.,東來橐駝滿舊都。
"Sóc phương kiện nhi hảo thân thủ,",朔方健兒好身手，
Tích hà dũng nhuệ kim hà ngu!,昔何勇銳今何愚。
"Thiết văn thiên tử dĩ truyền vị,",竊聞天子已傳位，
Thánh đức bắc phục Nam Thiền Vu.,聖德北服南單于。
"Hoa Môn ly diện thỉnh tuyết sỉ,",花門剺面請雪恥，
Thận vật xuất khẩu tha nhân thư.,慎勿出口他人狙。
"Ai tai vương tôn thận vật sơ,",哀哉王孫慎勿疏，
Ngũ Lăng giai khí vô thời vô.,五陵佳氣無時無。
