vi,ch
"Bạch tửu tân thục sơn trung quy,",白酒新熟山中歸，
Hoàng kê trác thử thu chính phì.,黃雞啄黍秋正肥。
"Hô đồng phanh kê chước bạch tửu,",呼童烹雞酌白酒，
Nhi nữ hi tiếu khiên nhân y.,兒女嬉笑牽人衣。
"Cao ca thủ tuý dục tự uỷ,",高歌取醉欲自慰，
Khởi vũ lạc nhật tranh quang huy.,起舞落日爭光輝。
"Du thuyết vạn thặng khổ bất tảo,",游說萬乘苦不早，
Trước tiên khoá mã thiệp viễn đạo.,著鞭跨馬涉遠道。
"Cối Kê ngu phụ khinh Mãi Thần,",會稽愚婦輕買臣，
Dư diệc từ gia tây nhập Tần.,余亦辭家西入秦。
"Ngưỡng thiên đại tiếu xuất môn khứ,",仰天大笑出門去，
Ngã bối khởi thị bồng hao nhân!,我輩豈是蓬蒿人！
