vi,ch
"Tổ Long môn ngoại thần truyền bích,",祖龍門外神傳璧，
Phương sĩ do ngôn tiên khả đắc.,方士猶言仙可得。
"Đông hành dục dữ Tiễn Môn thân,",東行欲與羨門親，
Chỉ xích Bồng Lai thương hải cách.,咫尺蓬萊滄海隔。
"Na tri bình địa hữu thanh vân,",那知平地有青雲，
Chỉ thuộc tầm thường tỵ thế nhân.,只屬尋常避世人。
"Quan Trung nhật nguyệt không vạn cổ,",關中日月空萬古，
Hoa hạ sơn xuyên trưởng nhất thân.,花下山川長一身。
"Trung Nguyên biệt hậu vô tiêu tức,",中原別后無消息，
Văn thuyết Hồ trần nhân cảm tích.,聞說胡塵因感昔。
"Thuỳ giao Tấn đỉnh phán đông tây,",誰教晉鼎判東西，
Khước quý Tần thành hạn nam bắc.,卻愧秦城限南北。
"Nhân gian vạn sự dũ kham lân,",人間萬事愈堪怜，
Thử địa đương thời diệc ngẫu nhiên.,此地當時亦偶然。
"Hà sự khu khu Hán thiên tử,",何事區區漢天子，
Chủng đào tân khổ cầu trường niên.,种桃辛苦求長年。
