vi,ch
"Thiếu niên thập ngũ nhị thập thì,",少年十五二十時，
Bộ hành đoạt đắc Hồ mã kỵ.,步行奪得胡馬騎。
"Xạ sát trung sơn bạch ngạch hổ,",射殺中山白額虎，
Khẳng sổ Nghiệp Hạ hoàng tu nhi.,肯數鄴下黃須兒。
"Nhất thân chuyển chiến tam thiên lý,",一身轉戰三千里，
Nhất kiếm tằng đương bách vạn sư.,一劍曾當百萬師。
"Hán binh phấn tấn như phích lịch,",漢兵奮迅如霹靂，
Lỗ kỵ băng đằng uý tật lê.,虜騎崩騰畏蒺藜。
"Vệ Thanh bất bại do thiên hạnh,",衛青不敗由天幸，
Lý Quảng vô công duyên số kỳ.,李廣無功緣數奇。
"Tự tòng khí trí tiện suy hủ,",自從棄置便衰朽，
Thế sự tha đà thành bạch thủ.,世事蹉跎成白首。
"Tích thì phi tiễn vô toàn mục,",昔時飛箭無全目，
Kim nhật thuỳ dương sinh tả trửu.,今日垂楊生左肘。
"Lộ bàng thì mại Cố hầu qua,",路傍時賣故侯瓜，
Môn tiền học chủng tiên sinh liễu.,門前學種先生柳。
"Thương mang cổ mộc liên cùng hạng,",蒼茫古木連窮巷，
Liêu lạc hàn sơn đối hư dũ.,寥落寒山對虛牖。
"Thệ lệnh Sơ Lặc xuất phi tuyền,",誓令疏勒出飛泉，
Bất tự Dĩnh Xuyên không sứ tửu.,不似潁川空使酒。
"Hạ Lan sơn hạ trận như vân,",賀蘭山下陣如雲，
Vũ hịch giao trì nhật tịch văn.,羽檄交馳日夕聞。
"Tiết sứ Tam Hà mộ niên thiếu,",節使三河募年少，
Chiếu thư ngũ đạo xuất tướng quân.,詔書五道出將軍。
"Thí phất thiết y như tuyết sắc,",試拂鐵衣如雪色，
Liêu trì bảo kiếm động tinh văn.,聊持寶劍動星文。
"Nguyện đắc Yên cung xạ thiên tướng,",願得燕弓射天將，
Sỉ lệnh Việt giáp minh ngô quân.,恥令越甲鳴吳軍。
"Mạc hiềm cựu nhật Vân Trung thủ,",莫嫌舊日雲中守，
Do kham nhất chiến thủ công huân.,猶堪一戰取功勳。
