vi,ch
Quân bất kiến:,君不見：
"Lĩnh ngoại hành vân triêu tịch phi,",嶺外行雲朝夕飛，
Tung hoành tiêu hán vô dĩ thì.,縱橫宵漢無已辰。
Hựu bất kiến:,又不見：
"Minh giang thệ thuỷ trường lưu tư,",明江逝水長流斯，
Triều đông bôn sử thượng hạ ky.,朝東奔駛上下磯。
"Vân thuỷ vô tâm nãi hữu lực,",雲水無心乃有力，
Chu lưu vận hành bất thiểu tức.,周流運行不少息。
"Khởi kỳ tâm lực phi tương quan,",豈其心力非相關，
Thử lý hỗn nhiên thuỳ đắc thức.,此理渾然誰得識。
"Phỉ vân cầu cao đằng thái không,",匪雲求高騰太空，
Phỉ thuỷ vọng thâm xu minh mông.,匪水望深趨溟濛。
"Cao thâm phi ý tuỳ sở để,",高深非意隨所抵，
Mạc vi nhi vi thị hoá công.,莫為而為是化工。
"Thần đạo trì khu đồng thử lý,",臣道馳驅同此理，
Nam bắc đông tây thường sự nhĩ.,南北東西常事爾。
"Xu phó vô quá thính tự nhiên,",趨赴無過聽自然，
Hà đắc khả cầu nan khả tỵ.,何得可求難可避。
"Toán lai hữu đắc khước vô nan,",算來有得卻無難，
Đắc vị thường thâu tận nhật nhàn.,得為嘗偷盡日閑。
"Duyệt thục phong quang nhất tôn tửu,",閱熟風光一樽酒，
Hựu ngâm hựu thuỵ hựu gia xan.,又吟又睡又加餐。
"Thử khứ đế kinh hứa đa lộ,",此去帝京許多路，
Khuất chỉ tiền trình sơ phát bộ.,屈指前程初發步。
"Vạn lý thanh vân đắc ý đa,",萬里青雲得意多，
Cửu thiên mạch mộc tân cam lộ.,九天霡霂新甘露。
"Tâm thuỷ bàn trung hiếu phủng lai,",心水盤中好捧來，
Hành ngô tố vị sảng ngô hoài.,行吾素位爽吾懷。
Quân bất kiến:,君不見：
"Quách Phần Dương trượng trung tín an nghĩa mệnh,",郭汾陽仗忠信安義命，
Tuy cô thân tẩu biến bát cực thuỳ hà tai.,雖孤身走遍八極誰何哉。
